,text,detection,location
754,Parallel lines have so much in common . It ' s a shame they ' ll never meet .,1,18
756,The artist drew a crowd with her spectacular performance .,1,3
761,You ' re the reason the gene pool needs a lifeguard .,1,8
764,Smaller babies may be delivered by stork but the heavier ones need a crane .,1,14
765,A farmer with a rip in his clothes has an overall problem .,1,11
767,"Doctor , Doctor , this ointment you gave me makes my arm smart . . - Then rub some on your head ? Next .",1,13
768,It ' s quiet in a bowling alley because you can hear a pin drop .,1,14
769,I just got back from a statistical probability conference . It was average .,1,13
770,"I just landed a job as an assistant typist , helping with the capital letters . It ' s shift work .",1,20
771,"I finally found a spotter at the gym , it ' s like a huge weight has been lifted off my shoulders .",1,16
774,Shepherds sometimes have staff meetings .,1,4
775,After having a knee dislocated and an elbow fractured in two barroom brawls Bradley should have learned to stay away from those joints .,1,23
778,The air conditioner salesman lost his cool at a rude customer .,1,7
779,To be a successful frequent flier you need a lot of connections .,1,12
780,What do they call all that lumber on the Star Trek ' s Enterprise ? Captain ' s log .,1,19
783,After Gus gave his girlfriend a 3 dollar box of chocolates for her birthday he got nothing but snickers .,1,19
785,"Did you hear about the bivalve they called in to interrogate for that big murder investigation ? Apparently , he ' s clammed up .",1,23
787,"At a conference , I unexpectedly encountered the wife of a former client , whom I hadn ' t seen in 20 or more years . ' ' You haven ' t changed ! ' ' she exclaimed . ' ' There ' s plenty of time for that , ' ' I replied . ' ' The dinner isn ' t until this evening . ' '",1,33
788,Changing a tire on that crazy Houston freeway was a wrenching experience .,1,11
789,Two podiatrists became arch rivals .,1,4
790,"A husband and wife argued over the weather , but it soon blew over .",1,13
791,I needed a raise in my allowance . Mowing the grass all summer just wasn ' t cutting it .,1,18
792,I think Santa has riverfront property in Brazil . All our presents came from Amazon this year .,1,15
793,Husbands are like fires . They go out when unattended .,1,8
796,A manufacturer that made lamps gave their employees a light workload .,1,10
799,If towels could tell jokes they would probably have a dry sense of humor .,1,11
800,An office with many people and few electrical outlets could be in for a power struggle .,1,15
802,Vinyl records are really groovy .,1,5
804,"Before a plumber retired , he took the final plunge .",1,10
806,Faraday was charged up with the idea .,1,3
807,An unusual medical book is one which has no appendix .,1,10
808,A tire store loves a chance to roll out a new product .,1,8
810,If you break a string on your guitar don ' t fret .,1,12
811,"After he bought his two - year - old a felt pen , he was a marked man .",1,17
812,"After a long career , the cartoonist sat down , closed his eyes , and drew his last breath .",1,16
814,"The plums for sale dried out , so the profits were pruned .",1,12
815,When a duck is feeling down he might just be happy .,1,6
817,This is the best guy I ' ve met to date .,1,11
819,"Waiter , I ' ll have my bill now . - How did you find your steak , sir ? - Oh , I just moved the potato and there it was .",1,15
821,The auditor is a fearsome figure .,1,6
825,"My landlord said he needed to come talk to me about how high my heating bill is . I told him , ' My door is always open ! '",1,28
828,"The racers all had shorts on that were too small for them , so it was a tight race .",1,18
831,Life is a game . Money is how we keep score .,1,11
832,"Why did CNN cancel that cool "" Winter Storm "" show ?",1,6
833,"Some clockmakers are normal , but others are a little cuckoo .",1,11
834,They called him the king of the dentists because he specialized in crowns .,1,13
835,A man stole a case of soap from the corner store . The police said he made a clean getaway .,1,19
836,News of a coming flood was leaked .,1,7
838,She became a telephone operator because it was her calling .,1,10
841,The politician is not one for Indian food . But he ' s good at currying favors .,1,16
843,"If you are what you eat , I ' m staying away from the nuts !",1,15
845,One of these new shoes isn ' t right .,1,9
848,"I went to the dentist without lunch , and he gave me a plate .",1,14
852,The massage which came with the spa treatment was a nice touch .,1,12
853,What did the duck say when he bought lipstick ? Put it on my bill .,1,15
854,Here is how the track meet is going to run . . .,1,10
855,How do I handle change ? I put it in the parking meter .,1,5
856,"I ' ve never taken an elevator to the basement floor , that ' s just beneath me .",1,17
857,I ' ve never killed a deer before but I ' ll take a shot at it .,1,15
860,Diabetics should not be allowed to have sweet dreams .,1,8
861,I ' m going to the guillotine at dawn and my wife has already collected my severance pay .,1,17
862,"After 5 years with the same chiropractor , I moved and had to change doctors . It was quite an adjustment .",1,21
863,We ' re expecting fallout from the recent layoffs at the nuclear plant .,1,5
864,A scientist doing a large experiment with liquid chemicals was trying to solve a problem when he fell in and became part of the solution .,1,25
866,I got a great bargain the other day when I bought a forklift for half - price . It ' s amazing what you can pick up these days .,1,26
868,"I wanted to learn to drive a stick shift , but I couldn ' t find a manual .",1,18
