score	location
"[[ 0.19520243  0.15132176  0.11613234  0.09042573  0.08984193  0.07492679
  -0.06398665 -0.06398665 -1.         -1.        ]
 [ 0.12118082  0.08325819  0.07594748  0.00734496 -0.01653237 -0.01923431
  -0.0270102  -0.03696055 -0.03776396 -0.03776396]
 [ 0.29852015  0.29852015  0.09590162  0.09219972  0.08962881  0.083111
  -1.         -1.         -1.         -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]]"	3.0
"[[ 0.46415284  0.45519891  0.20386335  0.08993785  0.06142205  0.00772603
   0.00772603 -1.         -1.         -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.3373878   0.3373878   0.24235689  0.24235689  0.18933166  0.18933166
  -0.0721783  -0.07674126 -0.0862328  -0.0862328 ]
 [ 0.48126365  0.48126365  0.17766071  0.17766071  0.07088007  0.07088007
  -0.06728856 -0.07093537 -0.07514138 -0.07514138]
 [ 0.34452133  0.31808288  0.01809281  0.01809281 -0.15819532 -0.16166343
  -1.         -1.         -1.         -1.        ]
 [ 0.48126365  0.48126365  0.17766071  0.17766071  0.07088007  0.07088007
  -0.06728856 -0.07093537 -0.07514138 -0.07514138]
 [ 0.29790817  0.09295892 -0.05859031 -0.06614295 -0.08064395 -0.1244037
  -0.17622711 -0.20248409 -0.22099593 -0.23001847]
 [ 0.19478116  0.18601799 -0.05026069 -0.05026069 -0.08080401 -0.09118752
  -0.14680223 -0.14892383 -1.         -1.        ]
 [ 0.38113463  0.37150843  0.3059749   0.3059749   0.03358723  0.03358723
  -0.01301995 -0.015186   -1.         -1.        ]
 [ 0.37468611  0.37468611 -0.02255366 -0.03216422 -0.03782378 -0.055097
  -1.         -1.         -1.         -1.        ]
 [ 0.2597465   0.25565095  0.15874319  0.15874319  0.11540874  0.11294595
   0.02057902  0.01498757 -0.00472364 -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]]"	8.0
"[[ 1.84486689e-02  1.84486689e-02  1.53055578e-02  9.53795121e-03
  -5.80346591e-02 -6.54675834e-02 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 7.39288473e-01  7.21433348e-01  1.57439523e-01  6.04067581e-02
  -5.27808560e-03 -5.27808560e-03 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 2.47927267e-01  1.60768030e-01  9.69186956e-02  9.37713597e-02
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 3.11158995e-01  3.11158995e-01  1.86087265e-02  1.86087265e-02
  -9.96798576e-03 -9.96798576e-03 -2.94285824e-02 -2.94285824e-02
  -5.18785808e-02 -5.18785808e-02]
 [ 1.68421994e-01  1.68421994e-01  9.69136104e-02  7.36454211e-02
   2.25591110e-02 -1.85672576e-02 -8.61855285e-02 -8.61855285e-02
  -1.00000000e+00 -1.00000000e+00]
 [-1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 7.40201815e-01  7.03401370e-01  1.41590462e-01  1.36283208e-02
  -3.13303360e-02 -3.13303360e-02 -6.05391018e-02 -6.05391018e-02
  -1.26554631e-01 -1.30262468e-01]
 [-1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 1.02614888e-01  7.27948293e-02  1.97853893e-02  1.97853893e-02
  -2.02515157e-02 -2.61296084e-02 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 4.10617405e-01  3.88989384e-01  3.08330036e-01  2.73615668e-01
   2.29339135e-01  2.17631971e-01  2.11327615e-01  2.09993615e-01
   2.09993615e-01  1.69758828e-01]
 [ 3.30638093e-01  3.30638093e-01  1.28397018e-01  1.28397018e-01
  -1.21165179e-02 -1.21165179e-02 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 5.70045466e-01  5.70045466e-01  2.35702522e-01  1.89282879e-01
  -8.74010574e-04 -8.74010574e-04 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 1.50194736e-01  1.50194736e-01 -7.36952689e-02 -8.72680563e-02
  -1.15773438e-01 -1.27828276e-01 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 5.90048557e-01  5.90048557e-01  2.03319038e-01  1.33006443e-01
  -6.56125747e-04 -6.56125747e-04 -1.97795231e-02 -2.48302665e-02
  -1.19777842e-01 -1.25147570e-01]
 [ 3.13146149e-01  3.13146149e-01  6.55599708e-02  6.55599708e-02
   2.40073624e-02  2.40073624e-02  1.92622194e-02  1.92622194e-02
  -5.14619969e-02 -5.14619969e-02]
 [ 3.30603069e-01  3.30603069e-01 -3.81659384e-02 -3.81659384e-02
  -5.92109258e-02 -5.92109258e-02 -8.62186625e-02 -8.62186625e-02
  -1.12767425e-01 -1.12767425e-01]
 [-1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]]"	14.0
"[[ 0.02832879  0.02832879 -0.09604208 -0.09633068 -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.23714378  0.17623074  0.0550664   0.05172137  0.02594678  0.00589044
  -0.14772053 -0.14778167 -1.         -1.        ]
 [ 0.10245792  0.04704486  0.02517347  0.02517347 -0.08344013 -0.09383679
  -1.         -1.         -1.         -1.        ]
 [-0.05389244 -0.05840911 -0.06944801 -0.07839253 -0.13561658 -0.1816934
  -1.         -1.         -1.         -1.        ]
 [ 0.30381254  0.27839384  0.16816953  0.15800982  0.14974976  0.02778047
   0.01128     0.01128    -0.04020799 -0.04020799]
 [ 0.14024257  0.13773551 -0.02090756 -0.02090756 -0.04555685 -0.07395193
  -0.17691952 -0.17691952 -1.         -1.        ]
 [ 0.20521091 -0.2317638  -0.249384   -0.25578002 -0.26080174 -0.29119275
  -1.         -1.         -1.         -1.        ]
 [ 0.31183998  0.18856219  0.17510738  0.14915973  0.14915973 -0.01881935
  -0.01881935 -0.10340377 -0.21148384 -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]]"	7.0
"[[ 3.10766327e-01  3.01776612e-01  1.26766666e-01  1.17361516e-01
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 1.10151385e-01  1.08001416e-01  6.69902391e-02  6.69902391e-02
   4.37310740e-02  4.37310740e-02  2.34512785e-02  2.34512785e-02
  -9.28983678e-02 -9.28983678e-02]
 [ 6.57771444e-02  5.20681617e-02  4.83904004e-02  4.64951306e-02
   3.09275272e-02  1.66223577e-02  1.22924912e-02  1.22924912e-02
  -9.00155203e-05 -2.80853093e-03]
 [ 1.71832771e-01  1.54293533e-01  1.24435290e-01  1.24196730e-01
  -5.40220620e-02 -5.40220620e-02 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 5.60836500e-02  5.60836500e-02  4.92371779e-02  1.57069943e-02
   1.35548050e-02  1.35548050e-02 -2.17140892e-03 -2.17140892e-03
  -2.64056932e-03 -2.64056932e-03]
 [ 1.35911188e-01  1.06925501e-01  9.62520901e-02  7.38672685e-02
   6.79758255e-02  6.61032915e-02  5.59819219e-02 -6.59737813e-02
  -6.59737813e-02 -1.00000000e+00]
 [-1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]]"	4.0
"[[ 0.41302587  0.36823707  0.20891095  0.17592116  0.01609013 -0.04628877
  -0.04628877 -0.07104935 -0.0720449  -1.        ]
 [ 0.33959733  0.33959733  0.26715176  0.26715176  0.12701674  0.12701674
   0.12003636  0.12003636  0.07569543  0.06524296]
 [ 0.63795618  0.61409698  0.30049521  0.17566905  0.15589482  0.14154409
   0.12218132 -1.         -1.         -1.        ]
 [ 0.46366481  0.4498336  -0.04322927 -0.05306324 -0.08214212 -0.08214212
  -1.         -1.         -1.         -1.        ]
 [ 0.33723212  0.04647999  0.04647999 -0.11081272 -0.11081272 -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.58670123  0.45829501  0.28124611  0.26593718  0.24750632  0.11903688
   0.11768387  0.10477773  0.08089735  0.07842864]
 [ 0.25893764  0.22466986  0.21250207  0.20063876  0.18314776  0.14214937
   0.13242255  0.13016549  0.12052899  0.12052899]
 [ 0.32843686  0.31389568  0.01957916 -0.07614216 -0.07614216 -0.0767401
  -0.08390563 -1.         -1.         -1.        ]
 [ 0.39719068  0.36030223  0.21296449  0.08830692  0.0413549   0.03917924
   0.02427734  0.02267386 -0.07074378 -0.07074378]
 [ 0.51818937  0.47431677  0.32643788  0.25681523  0.13751449  0.03705858
   0.03705858 -0.02687311 -0.03070093 -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.35236268  0.17043166  0.08363423  0.08363423  0.08358935  0.08069077
   0.03324761  0.00184412 -0.08659698 -0.0913228 ]
 [ 0.47920203  0.47920203  0.24920641  0.22122079  0.21524258  0.18472799
   0.17562994  0.0010959   0.0010959  -1.        ]
 [ 0.5117487   0.50033818 -0.01240713 -0.01240713 -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.61679449  0.61679449  0.29505752  0.29505752  0.2788288   0.2788288
   0.21671172  0.21671172 -0.0070693  -0.0070693 ]
 [ 0.48392452  0.47763591  0.36436132  0.35934012  0.04187323  0.0308059
  -0.04499948 -0.04499948 -1.         -1.        ]
 [ 0.23451716  0.2228249   0.06726597  0.05172027 -0.0873635  -0.0873635
  -1.         -1.         -1.         -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]]"	17.0
"[[ 2.76681131e-01  2.71084222e-01 -7.13264641e-02 -9.01245718e-02
  -9.01245718e-02 -1.06831650e-01 -1.51552370e-01 -1.63882099e-01
  -1.00000000e+00 -1.00000000e+00]
 [ 1.30634844e-01  8.00126734e-02  8.00126734e-02  7.60749508e-02
   7.60749508e-02  7.45660247e-02  7.28961030e-02  7.28961030e-02
   3.80562485e-02  3.37214742e-02]
 [ 5.70281264e-01  5.48464599e-01  2.86958901e-01  2.52949070e-01
   5.36440060e-02  5.36440060e-02 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [-1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 2.09620994e-01  1.36957242e-01  1.36957242e-01 -8.16028668e-03
  -8.16028668e-03 -9.44942853e-02 -9.60653346e-02 -1.99428074e-01
  -1.99428074e-01 -1.00000000e+00]
 [ 5.47981937e-01  5.42039502e-01  2.10949629e-01  1.26009544e-01
  -6.04290373e-04 -6.04290373e-04 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 1.18915921e-01 -3.10751850e-02 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 3.96759579e-01  3.50734743e-01 -8.21857116e-02 -1.15095723e-01
  -1.15095723e-01 -1.23684975e-01 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [-1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]]"	7.0
"[[ 0.21924944  0.21924944  0.13192715  0.13192715  0.00668008  0.00668008
  -0.07365221 -0.07365221 -0.08668548 -0.08668548]
 [ 0.03986913  0.01756571  0.01756571  0.00823731  0.00289565 -0.00183515
  -0.01933557 -0.02166649 -0.06054615 -0.1129025 ]
 [ 0.11626043  0.11626043  0.03771464  0.02958385  0.02598903 -0.01771139
  -0.02111923 -0.02111923 -0.0224326  -0.02615928]
 [ 0.06200447  0.06200447 -0.16006924 -0.16006924 -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.21924944  0.21924944  0.13192715  0.13192715  0.00668008  0.00668008
  -0.07365221 -0.07365221 -0.08668548 -0.08668548]
 [ 0.30147082  0.29552798  0.28991134  0.2219373   0.22016608  0.18315074
   0.17286401  0.1697175   0.16191793  0.12904368]
 [ 0.31620553  0.25483514  0.22693833  0.18754635  0.13371377  0.11627109
   0.11627109 -1.         -1.         -1.        ]
 [ 0.25173456  0.22634157  0.2193504   0.20181005  0.17793259  0.13097303
   0.1296962   0.12240409  0.12240409  0.1039982 ]
 [ 0.00571371  0.00571371 -0.02337018 -0.05616444 -0.0768291  -0.07843524
  -1.         -1.         -1.         -1.        ]
 [ 0.08384194  0.08384194  0.04888584  0.04888584  0.03110465  0.02554497
   0.0127237   0.00343409 -0.03063178 -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]]"	10.0
"[[ 0.17172529  0.17172529  0.09542583  0.09542583 -0.0756097  -0.0756097
  -0.1152542  -0.1152542  -0.19544638 -0.19544638]
 [ 0.47268626  0.46400732  0.14690512  0.0900378  -0.00376705 -0.06302585
  -0.06302585 -0.089064   -0.089064   -1.        ]
 [ 0.57711627  0.41529043  0.41529043  0.33089076  0.33089076  0.24174809
   0.22800734  0.2264066   0.20387898  0.20170406]
 [ 0.43438851  0.29851934 -0.05880326 -0.09849252 -0.10251889 -0.11538208
  -0.12421198 -0.13979205 -0.21429482 -1.        ]
 [ 0.40498271  0.39443255 -0.05316322 -0.05316322 -0.11445226 -0.14085861
  -0.31319726 -0.31319726 -1.         -1.        ]
 [ 0.32084697  0.32084697 -0.03936441 -0.05159591 -0.09486116 -0.1240078
  -1.         -1.         -1.         -1.        ]
 [ 0.51048282  0.29443358  0.18240269  0.05245171  0.0357058  -0.16418179
  -0.16418179 -1.         -1.         -1.        ]
 [ 0.4868235   0.4868235   0.34294846  0.34294846  0.10163191  0.10163191
  -0.13113384 -0.13113384 -1.         -1.        ]
 [ 0.44509341  0.44218142  0.33420004  0.33420004  0.32689738  0.32689738
   0.25264949  0.24574343  0.15073532  0.15073532]
 [ 0.25124778  0.18514148 -0.0333258  -0.05243373 -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.27585541  0.25295008  0.18718527  0.03854549  0.03854549 -0.04155247
  -0.04155247 -0.07921418 -0.07921418 -0.14193027]
 [ 0.38888132  0.38888132 -0.21717511 -0.22851011 -0.24136896 -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.41885462  0.41885462  0.19104158  0.17036555  0.03151129 -0.03620476
  -0.03620476 -0.03849963 -0.20349333 -1.        ]
 [ 0.5629815   0.5629815   0.22241957  0.22241957  0.15448074  0.15077161
   0.14829619  0.14829619  0.1200844   0.1200844 ]
 [ 0.63260774  0.54587018  0.32979352  0.31543006  0.27878779  0.23782194
   0.23782194  0.2303793   0.23033609  0.22639408]
 [ 0.32084697  0.32084697 -0.03936441 -0.05159591 -0.09486116 -0.1240078
  -1.         -1.         -1.         -1.        ]
 [ 0.54662061  0.53034815 -0.06079944 -0.06079944 -0.12971785 -0.12971785
  -0.16955004 -0.19372777 -1.         -1.        ]
 [ 0.17737233  0.17129857 -0.07422543 -0.07422543 -0.19179485 -0.19483675
  -1.         -1.         -1.         -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]]"	17.0
"[[ 0.33596383  0.23524253  0.22918843  0.15012033  0.0666567  -0.01816709
  -0.01816709 -1.         -1.         -1.        ]
 [ 0.33975318  0.31025163  0.18985419  0.18985419 -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.0795789   0.07140379  0.07140379  0.06790203  0.06790203  0.05222443
  -0.04425471 -0.04425471 -1.         -1.        ]
 [ 0.30250001  0.30250001  0.29118799  0.29118799  0.04418151  0.04418151
  -0.00343575 -0.00343575 -0.02416015 -0.02416015]
 [ 0.0795789   0.07140379  0.07140379  0.06790203  0.06790203  0.05222443
  -0.04425471 -0.04425471 -1.         -1.        ]
 [ 0.15098012  0.15098012  0.14448608  0.13585956  0.11711508  0.11711508
   0.09770131  0.09770131  0.08722255  0.08296433]
 [ 0.29276738  0.29276738  0.04361017  0.04361017  0.03721021  0.03721021
   0.03523381  0.02784414 -0.02842243 -0.04089675]
 [ 0.24027055  0.24027055  0.06808938  0.06808938  0.06098884  0.03745616
  -1.         -1.         -1.         -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]]"	8.0
"[[ 0.58027115  0.33046429  0.32118072  0.31267907  0.11033724  0.09218178
   0.09218178 -0.01551717 -0.01551717 -0.06973164]
 [ 0.32737818  0.32737818  0.31258682  0.28835516  0.25262822  0.25262822
   0.247589    0.21228197  0.21228197  0.07116446]
 [ 0.50631517  0.50631517  0.33404876  0.16874417  0.16874417 -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.49046006  0.49046006 -0.01267458 -0.04130357 -0.08262634 -0.09958889
  -1.         -1.         -1.         -1.        ]
 [ 0.37918986  0.36771406  0.17617377  0.1415143   0.08101733  0.06341082
  -0.08385979 -0.08385979 -1.         -1.        ]
 [ 0.40805151  0.40805151  0.02074188  0.02074188  0.0106019   0.0106019
  -0.00897559 -0.00897559 -0.03301477 -0.03301477]
 [ 0.26072494  0.20204561  0.04067654  0.04067654 -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.22335012  0.22335012 -0.04526203 -0.04526203 -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.63299301  0.63299301  0.25565406  0.25565406  0.19507357  0.19507357
  -0.01558508 -0.01558508 -0.02768968 -0.02768968]
 [ 0.64630672  0.64185772  0.19370992  0.16813736  0.15924165  0.06916506
  -0.02807661 -0.02807661 -1.         -1.        ]
 [ 0.32737818  0.32737818  0.31258682  0.28835516  0.25262822  0.25262822
   0.247589    0.21228197  0.21228197  0.07116446]
 [ 0.62299635  0.62299635  0.00545084 -0.06998114 -0.06998114 -0.07899475
  -1.         -1.         -1.         -1.        ]
 [ 0.44807501  0.424098    0.25997018  0.0913975   0.08021247  0.05674264
   0.05674264 -0.01607406 -0.01607406 -0.05698899]
 [ 0.58038257  0.55182032  0.13132713  0.12273825  0.1139595   0.11238176
   0.05655494 -1.         -1.         -1.        ]
 [ 0.62239622  0.42035766  0.39931808  0.34128346  0.1134704   0.1134704
   0.0982637  -0.02325162 -0.02325162 -0.08554001]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.39467754  0.37522473  0.12121112  0.12121112  0.10421136  0.08098659
   0.08098659  0.07432787  0.07109694  0.07109694]
 [ 0.65966328  0.60027673  0.59468343  0.04737621  0.04325036 -0.01290499
  -0.05542824 -0.07039828 -0.07039828 -0.07598129]
 [ 0.5753645   0.56461613  0.51780053  0.45539034  0.41356137 -0.01523631
  -0.01656063 -0.02403588 -0.02403588 -1.        ]
 [ 0.68771084  0.68771084  0.33861989  0.33861989  0.3129905   0.3129905
   0.22626213  0.22626213 -0.049909   -0.049909  ]
 [ 0.26664495  0.26664495  0.0945408   0.08236409  0.00954259  0.00954259
  -1.         -1.         -1.         -1.        ]
 [ 0.49046006  0.49046006 -0.01267458 -0.04130357 -0.08262634 -0.09958889
  -1.         -1.         -1.         -1.        ]
 [ 0.353663    0.34809761  0.20404996  0.20404996  0.03858251  0.03858251
  -0.04619651 -0.04619651 -0.08560746 -0.08674033]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]]"	23.0
"[[ 0.3179787   0.30107984  0.27363813  0.19619742  0.17318392  0.16315856
   0.16315856  0.14049092  0.12062176  0.10910464]
 [ 0.20948906  0.18221221 -0.04122459 -0.05678826 -0.06620451 -0.06620451
  -1.         -1.         -1.         -1.        ]
 [ 0.43167144  0.42664297  0.13969219  0.04950191  0.04950191  0.0202889
  -1.         -1.         -1.         -1.        ]
 [ 0.44967476  0.44967476  0.21274     0.20609789  0.01217814 -0.03771149
  -0.03771149 -0.04550153 -0.06499795 -1.        ]
 [ 0.66227787  0.40892031  0.383653    0.37984375  0.35294646  0.34220646
   0.24112999  0.1772742   0.13296552  0.03634072]
 [ 0.6097341   0.59683393  0.40873711  0.406116    0.38717833  0.38717833
   0.28568858  0.20582545  0.20582545  0.20378161]
 [ 0.33250869  0.32279312  0.15681172  0.142678   -0.05633391 -0.05633391
  -1.         -1.         -1.         -1.        ]
 [ 0.0702651   0.02680461  0.01993064 -0.01841324 -0.03495963 -0.03495963
  -0.10665242 -0.10696492 -1.         -1.        ]
 [ 0.37142715  0.34184578  0.13029634  0.06446919  0.01309488  0.01309488
  -1.         -1.         -1.         -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]]"	8.0
"[[ 0.48207213  0.48207213  0.3014317   0.3014317   0.2553659   0.2553659
   0.10090607  0.10090607 -0.119992   -0.119992  ]
 [ 0.53240372  0.53240372  0.28112277  0.28112277 -0.05529733 -0.05529733
  -0.08954019 -0.09371674 -0.15277183 -0.20572344]
 [ 0.47384492  0.47384492 -0.05229951 -0.05689958 -0.08262844 -0.09074733
  -1.         -1.         -1.         -1.        ]
 [ 0.48428701  0.48102621  0.37552978  0.34081882  0.29772012  0.25841709
   0.19860895  0.13052758 -0.10865292 -0.10865292]
 [ 0.44115141  0.39177738  0.22834246  0.2156438   0.15337104  0.01219237
   0.01098783 -0.02546694 -1.         -1.        ]
 [ 0.33367411  0.33367411  0.23669681  0.23028489  0.15214456  0.11095042
   0.09363543  0.08427117  0.0304442   0.01747265]
 [ 0.32485694  0.31724187  0.2289667   0.2289667  -0.08559787 -0.0926625
  -0.1260619  -0.1260619  -1.         -1.        ]
 [ 0.54500436  0.54500436  0.40829104  0.40829104  0.28064988  0.28064988
   0.14435262  0.14435262 -0.09510977 -0.09510977]
 [ 0.53240372  0.53240372  0.28112277  0.28112277 -0.05529733 -0.05529733
  -0.08954019 -0.09371674 -0.15277183 -0.20572344]
 [ 0.20440067  0.20440067  0.14934042  0.14934042  0.12559581  0.12559581
   0.11328175  0.11328175  0.11060299  0.11060299]
 [ 0.46360988  0.42649909  0.40704664  0.37553015  0.35417194  0.24722187
   0.23375963  0.18680206  0.1390252   0.12783053]
 [ 0.3775717   0.36788862  0.29374461  0.27752174  0.08590172 -0.04385938
  -0.05260782 -0.13793299 -0.13808284 -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]]"	11.0
"[[ 6.05021453e-02  6.05021453e-02 -2.94625883e-02 -2.94625883e-02
  -5.21222021e-02 -5.21222021e-02 -1.51857882e-01 -1.51857882e-01
  -1.51900346e-01 -1.51900346e-01]
 [ 1.41015724e-01  1.39132046e-01  6.65540881e-02  5.91983883e-02
   4.83274021e-02  3.47964306e-02  3.36336161e-02  2.89182888e-02
  -1.75008140e-02 -1.75008140e-02]
 [ 1.24621008e-01  1.24621008e-01  1.24614695e-01  1.24614695e-01
   1.03357347e-01  6.68213463e-02  5.11704370e-02  1.63145525e-02
   1.26398694e-02  1.26398694e-02]
 [ 2.45981326e-01  2.45981326e-01 -1.70668153e-02 -5.19274476e-02
  -6.57075210e-02 -9.07532448e-02 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 4.31454253e-01  3.77677802e-01  4.97635196e-02  4.30910812e-02
  -1.08665305e-01 -1.08665305e-01 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 1.52684580e-01  1.52684580e-01  1.39615232e-01  1.37051003e-01
   7.24819237e-02  6.50519641e-02 -1.54458645e-03 -1.54458645e-03
  -3.45404465e-03 -1.22363159e-02]
 [ 2.92272705e-01  2.44465646e-01  1.19580100e-01 -5.07126751e-02
  -5.07126751e-02 -6.31544658e-02 -6.31544658e-02 -1.03709637e-01
  -1.03709637e-01 -1.00000000e+00]
 [ 2.77452893e-01  2.52302822e-01  1.68943679e-01  1.35905097e-01
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 4.90830277e-01  4.82226676e-01  4.18562945e-01  3.89449580e-01
   1.37764797e-01  1.15703595e-01  6.72630141e-02  6.72630141e-02
   7.01486770e-04  7.01486770e-04]
 [-1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]]"	3.0
"[[ 0.24713121  0.10566242  0.10566242 -0.05759837 -0.05759837 -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.17982665  0.17982665 -0.03591342 -0.03786888 -0.09415546 -0.14155334
  -1.         -1.         -1.         -1.        ]
 [ 0.4963239   0.4963239   0.47036886  0.19114997  0.19114997  0.07390737
   0.06981357 -1.         -1.         -1.        ]
 [ 0.49030988  0.47019423  0.44513499  0.22474261  0.13082293  0.13082293
  -1.         -1.         -1.         -1.        ]
 [ 0.43706777  0.43706777  0.27424776  0.21877821  0.21877821  0.21747877
   0.18577432  0.14281213  0.14281213  0.0253253 ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.43366306  0.3390343   0.26120713  0.23719253  0.23719253 -0.0188187
  -0.0188187  -0.03587521 -0.10984603 -1.        ]
 [ 0.34471195  0.34471195  0.34039549  0.34039549  0.306212    0.306212
   0.25479794  0.24400851  0.23736964  0.21127765]
 [ 0.20193027  0.17875766 -0.06108754 -0.0940246  -0.100527   -0.100527
  -1.         -1.         -1.         -1.        ]
 [ 0.0646077   0.03829878 -0.05535545 -0.05535545 -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]]"	10.0
