,text
65,"Riker to Holodeck : "" Woman , 23 , hot . """
66,Lawyers have to like alcohol because they ' re always being called to the bar .
67,"I ' ll have one brain on drugs with bacon , toast and juice ."
68,Baseball players are expected to perform well right off the bat .
69,Vines are extremely short - tempered . They snap at the slightest wind .
70,The man brought an umbrella with him into the ice cream store because he heard there was a chance of sprinkles .
71,"OLD ACADEMICIANS never die , they just lose their faculties"
72,Bring me a rubber band and make it snappy !
73,An electric company is always looking for high energy employees .
74,When a thief stole several volumes from the library he was quickly booked .
75,The inept mathematician couldn ' t count on his friends .
76,"The phone call interrupted my nap , and I never did get the rest ."
77,"When potato chips don ' t sell fast enough , the maker knows it will soon be crunch time ."
78,Misfortunes never come singly .
79,"Save the whales , spouted Tom ."
80,OLD HIKERS never die they just get the boot .
81,Come in for a free makeover this Sunday
82,Superglue ! Tom rejoined .
83,96 . 37 % of all statistics are useless . .
84,"Admitting a mistake : ' ' Like the orthopedist ' s patient , I stand corrected . ' '"
85,"For every 45 I collected , I would write down the song and the artist so I could keep records ."
86,"' ' There , there , ' ' was Tom ' s pat answer ."
87,A contest held by fire fighters is called a ' match ' .
88,Willful waste makes woeful want .
89,No one chills out in the fires of hell .
90,"A lot of trees were dying , but they needed to figure out the root of the problem ."
91,"OLD PILOTS never die , they just get more turbulent ."
92,A guy became so good with a chainsaw that he was promoted to branch manager .
93,Zeal without knowledge is a runaway horse .
94,"I ' m NOT "" white , "" I ' m "" melanin - challenged . """
95,Don ' t argue with a bomb inventor - he might blow up at you .
96,Don’t let adversity get you down unless you are on your knees
97,"She was only a Wrestler ' s daughter , but you oughtta see her box . ."
98,"OLD DOOR FRAMERS never die , they just become unhinged ."
99,I was against the construction of tennis courts in the park as I thought they would cause too much racket .
100,One swallow does not make a summer .
101,The ignorant always adore what they cannot understand .
102,"I ' m dying , Tom croaked ."
103,"In a recession , the most secure job is garbage - man . Business is always picking up ."
104,Suicidal dyslexic jumps behind train - film at 11
105,Wilbur Wright said he ' d take a flier on it .
106,A man brought his retriever to the vet for some tests and had to pay a lab fee .
107,They replaced the baseball with an orange to add zest to the game .
108,If you operate a drill press you have a boring job .
109,Figure skaters don ' t like to be in a rut .
110,"Garbage in , garbage out ."
111,A thief who stole a calendar got twelve months .
112,OLD PRINTERS never die they ' re just not the type
113,Cross river * THEN * insult alligator .
114,"A play , based on billiards , started right on cue ."
115,"My father slept under the bed , I think he was a little potty ."
116,Is coffee your daily grind ?
117,Backup not found : ( A ) bort ( R ) etry ( P ) anic
118,Some people find fire drills quite Alarming .
119,"Old math profs never die , they just can ' t differentiate ."
120,A bad settlement is better than a good lawsuit .
121,Little by little and bit by bit .
122,Barking dogs seldom bite .
123,The inventor of glass decided to see it through .
124,A noun and a verb were dating but they broke up because the noun was too possessive .
125,Hell ! . . . I’d forgotten about that !
126,"She was only a Pitcher ' s daughter , but you should have seen her curves ."
127,A baseball player can sell himself to a new team if he has a good pitch .
128,"Yes , you ' re right . Unfortunately , I don ' t really care ."
129,' ' Use your own toothbrush ! ' ' Tom bristled .
130,"To err is human , to forgive is against my policy"
131,My name is Bill . I run a collection agency
132,"OLD BAKERS never die , they just stop making lots of dough ."
133,"Tonight ' s forecast : Dark , scattered light toward dawn ."
134,The couple grew fruit trees and lived to a ripe old age .
135,The plumber had to quit his job because it was too much of a drain .
136,Finding area is an integral part of calculus .
137,"If you sing while playing baseball , you won ' t get a good pitch ."
138,"OLD PINEAPPLE GROWERS never die , they just get on the dole ."
139,"Some commands given by the army are specific , others are General ."
140,"If a horse could predict the weather , it would probably say that the weather is stable ."
141,"She was only a Weatherman ' ' s daughter , but she sure had a warm front ."
142,A drowning man will clutch at a straw .
143,"OLD LOCOMOTIVE ENGINEERS , never die , they just get derailed"
144,A doctor who became a bartender was always giving out shots !
145,The grass is always greener on the other side .
146,"OLD STATISTICIANS never die , they just average out ."
147,A little boy fired his light - colored crayons because they wouldn ' t show up .
148,"With certain cashiers , things are slow to register ."
149,OLD ELECTRICIANS never die they just lose contact .
150,"' ' Perhaps I will , ' ' said Tom with all his might ."
151,The comedian stopped at the fabric store on his way to a comedy gig . He was looking for new material .
152,"- Call me a taxi . - OK , you ' re a taxi ."
153,Someone who sells old chess pieces is a pawn broker .
154,"If you want her to show emotion , cut up her credit cards ."
155,The model who joined the air force was a bombshell .
156,"OLD PLUMBERS never die , they just pipe down ."
157,Better safe than sorry .
158,"The surgeon really did not know how to perform quick surgeries on insects , but he did one on the fly ."
159,"OLD STATISTICIANS never die , they just get mean ."
160,We went to the owls convention and it was a real hoot .
161,OLD GARDENERS never die they are just deflowered .
162,In the air duct installers union they have lots of opportunity to vent .
163,"He and his partner made knives , and they shared a cut ."
164,A baseball player was a thief . He was always trying to steal .
165,"First deserve , then desire ."
166,The fault line had a splitting headache .
167,You ' re so vain / I bet you think this tagline ' s about you
168,"OLD DIVERS never die , they just flop ."
169,"For a while , Houdini used a lot of trap doors in his act , but he was just going through a stage ."
170,You know the tree by its fruit .
171,"OLD MINERS never die , they just lose their veins ."
172,Animals are slaughtered for meat at a tender age .
173,"' ' I make the armour out of chain links , ' ' Tom replied by mail ."
174,He became an astronaut and had a blast .
175,A perfect woman is one that is inflated to 40 psi .
176,A janitor with a broom in hand swept her off her feet .
177,I couldn ' t figure out how to fasten my seatbelt . Then it clicked .
178,"OLD PHOTOGRAPHERS never die , they just lose their focus ."
179,Ne ' er cast a clout till May be out .
180,The trapeze artist had to buy his own safety equipment . Every Friday he drew his net wages .
181,"Do not think that one enemy is insignificant , or that a thousand friends are too many ."
182,Dentists on death fill their last cavity .
183,"I ' d love to , but my bathroom tiles need grouting ."
184,Math class is full of drama . There are so many problems to work out .
185,"Her exam was on the human skeleton , so she decided to bone up ."
186,"Once the pin is pulled , Mr . Grenade is no longer a friend . . ."
187,"The first duck wouldn ' t go in the water . The other duck said ' ' What are you , chicken ? ' ' ."
188,To golf at your favorite course may require a long drive .
189,Any key will commence hard drive format . Continue ( y / n ) ?
190,"OLD TRIGONOMETRY TEACHERS never die , they just lose their identities ."
191,"I ' m not afraid of flying , I ' m afraid of crashing ."
192,"She was only a Catcher ' s daughter , but she had many balls bounce off her chin ."
193,Money talks .
194,"Jesus did the only extreme world makeover , the flood"
195,I took up teaching fencing as I wanted my students to get the point .
196,Sign on an electrician ' s truck : Let us remove your shorts .
197,"I like marching songs , in any month ."
198,"' ' I couldn ' t believe there were 527 , 986 bees in the swarm ! ' ' Tom recounted ."
199,""" I ' m sick ! I ought to be home in bed with a nurse . """
200,Our Boy Scouts ' knot - tying class went off without a hitch .
201,"I used to have a fear of hurdles , but I got over it ."
202,A group called the Balloons sings pop music .
203,"' ' I have to check the score on this exam again , ' ' Tom remarked ."
204,The dogs bark but the caravan passes on .
205,"She was only a Gardener ' s daughter , but she knows all the rakes ."
206,A locksmith has to have a good Combination of skills .
207,The teacher asked a question and the students were all up in arms .
208,"She was only a Real estate agent ' ' s daughter , but she gave a lot away ."
209,"If you can ' t make it good , make it expensive ."
210,Little strokes fell great oaks .
211,Faint heart never won fair lady .
212,In the middle of difficulty lies opportunity .
213,"When you ' re wearing a watch on an airplane , time flies ."
214,It ' s better to have loved and lost than never to have loved at all .
215,A man ' s home is his castle .
216,The mathematician worked at home because he only functioned in his domain .
217,I couldn ' t stand to be without my legs .
218,"Old bakers never die , they just keep making lots of dough ."
219,In equations with square numbers I can never find the root of the problem .
220,Did you hear about the guy whose whole left side was cut off ? He ' s all right now .
221,Airline pilots make many friends in high places .
222,"OLD MOONSHINERS never die , they just keep still ."
223,His business plan to manufacture scissors just didn ' t cut it .
224,The carpenter was well - known for nailing his work .
225,Salespeople selling security equipment like to see people get alarmed .
226,"She was only a Globetrotter ' s daughter , but she manages to get around ."
227,We’ve got children’s church because we know how to kid around
228,What it boils down to is this : eggs taste good .
229,"My name is Chuck , I ' m a butcher ."
230,"The pope , on his 2008 tour in the United States , skipped Mass ."
231,I ' ll have what the gentleman on the floor is having .
232,There was a massive outcry against the plan to build a power line across a nature preserve . The public couldn ' t bear the tension .
233,A tailor sometimes decides to suit himself .
234,A woman who became queen considered it her crowning achievement .
235,"Even though Catholics in space are weightless , do they have mass ?"
236,"OLD PILOTS never die , they just buzz off ."
237,Convicts are committed people .
238,"sophisticated , adj . deprived of its native simplicity ."
239,"My name is Emmy , I ' m a T . V . star"
240,The Procrastinators Anonymous meeting has been delayed until next Wednesday
241,Take care of the pennies and the pounds will take care of themselves .
242,"A new type of broom came out , it is sweeping the nation ."
243,Behind every great computer lies . . . a mess of wires !
244,"OLD TREE SURGEONS never die , they are just uprooted ."
245,Pills with long names can be quite a mouthful .
246,My name is Brooks . I ' m an irrrigation consultant
247,"In zen skiing , you learn to become one with the snow ."
248,Missing the wood for the trees .
249,A lingerie thief gave a police officer the slip .
250,We ' ll never run out of math teachers because they always multiply .
251,"The more you stroke the cat ' s tail , the more he raises his back ."
252,"Are you a Klingon , or is that a turtle on your head ?"
253,The race dogs got a bad case of the fleas - they had to be scratched .
254,A lawyer asked his dentist to give him a retainer .
255,My name is Wade and I ' m in swimming pool maintenance .
256,Hell hath no fury like a woman scorned .
257,An astronaut who fails on a weightlessness experiment must be aware of the gravity of the situation .
258,The weatherman who forecasted snow in July was a bit of a flake .
259,"Two brothers collaborated on haunted stories , but one was a ghost writer ."
260,They built a tree house together but then had a falling out .
261,I ' m a sap for tree jokes .
262,Eschew Obfuscation !
263,Monday is a hard way to spend 1 / 7 of your life .
264,"OLD COWBOYS never die , they just get the boot ."
265,Cowboys in a rodeo can be sure to get a few bucks .
266,OLD PRINCIPALS never die they just lose their faculties .
267,Never lie to an x - ray technician . They can see right through you .
268,He bought a rope factory to tie into his empire .
269,He took a nail to the volleyball game because he wanted to spike it .
270,There ' s no fool like an old fool .
271,Pharmacists find their work to be very encapsulating .
272,OLD KEY PUNCH OPERATORS never die they just punch out .
273,A basketball player couldn ' t control his saliva but he could sure dribble .
274,STICK \ ' stik \ n . 1 : A somewhat nonfunctional boomerang .
275,If you work in a forestry company you will probably have to log your time .
276,OLD GOLFERS never die they just putter away .
277,A job circumcising elephants isn ' t so bad . The base salary is small but the tips are big .
278,A man giving a speech by candle - light can wax eloquent .
279,Working hard to become roadkill on the Infobahn .
280,I never have understood how you ' re supposed to hit anything with a bat . . . . . it keeps flying away .
281,' ' How long will I have to wait for a table ? ' ' asked Tom without reservation .
282,"The designer wondered why his pirate room wasn ' t perfect , and the judge told him he went a little overboard ."
283,"' ' Consult an investment broker , ' ' was Tom ' s stock answer ."
284,If there ' s one person you don ' t want to interrupt in the middle of a sentence it ' s a judge .
285,Rabbits like their beer brewed with a lot of hops .
286,My name is Sly . I ' m a detective .
287,Some people really enjoy blowing air out of their lungs - I ' m not a fan myself .
288,An old spice wholesaler is a seasoned veteran .
289,All women are automatically born with a shopping disorder
290,Talk of the devil and he ' s sure to appear .
291,If an animal looses its tail it should shop at a retail store .
292,If you go for a job interview at a rubber stamp company try to make a good impression .
293,"OLD BLASTING TECHNICIANS never die , they just lose their spark ."
294,"Love me tender / love me sweet / push me out at 12 , 000 ft"
295,Studying fungus is a way to mold young minds .
296,""" Graphic Artist seeks Boss with vision impairment . """
297,A mechanic who was also a musician was good at tuning things .
298,"More haste , less speed ."
299,A gambling gardener usually hedges his bets .
300,"I watched a movie about a baby hen , it was a real chick flick ."
301,Copper wire was invented by lawyers arguing over a penny .
302,How does a card player party ? They shuffle .
303,"I noticed that the sun was out , and nobody had bothered to relight it ."
304,If a town ' s people have low IQs is the population dense ?
305,I was talking during sex and my girlfriend hung up .
306,You are an example of why some animals eat their young .
307,"Doctor , Doctor , you ' ve got to help me . I think I ' m a kleptomaniac . - Don ' t worry . I think there ' s something you can take for that . Next ."
308,Practice makes perfect .
309,"She was only a Fruit vender ' s daughter , but , oh , what a peach ."
310,Cometh the hour cometh the man .
311,"The Bagginses , they steals our taglines , precioussss . . . ."
312,Old math profs never die - - they just use strange expressions .
313,"and that , my leige , is how we know the Earth to be banana - shaped . . ."
314,"A boating accident between the yacht , Red Dawn , and the schooner , Blue Lagoon , left the survivors marooned ."
315,Junior loved being a member of the wrestling team even though he was prone to lose .
316,"The waiter was shocked when I asked for my salad to be served naked . I explained , no dressing please ."
317,I suspected our new house guest was a terrorist . He asked to sleep on a blow up mattress .
318,Trophy shops often will give customers floss with their purchase to eliminate plaque problems .
319,Scientists have created a flea from scratch .
320,Seek water in the sea .
321,"OLD BOTANISTS never die , they ' re just deflowered ."
322,The plot to his story of the pond was quite shallow .
323,"If you sight a whale , it could be a fluke ."
324,A person who would make a banking joke is of no account .
325,Lose nothing for want of asking .
326,He bought a plate with four corners so he could have a square meal .
327,' ' I didn ' t look at all ! ' ' Tom peeped .
328,My name is Melody . A Musician
329,Two companies that made shoelaces had common ties .
330,The younger brother the better gentleman .
331,"New religion ? I haven ' t used up the old one , yet !"
332,Why is the word abbreviation so long ?
333,Why was the car embarrassed ? Because it had gas !
334,God works in mysterious ways .
335,An egotist is a person who is more interested in himself than in me .
336,"Three can keep a secret , if two of them are dead ."
337,I was arrested after my therapist suggested I take something for my kleptomania .
338,"Doctor , Doctor , my hair is coming out . What can you give me to keep it in ? - A cigar box . Next ."
339,Once a thief always a thief .
340,"OLD FLORISTS never die , they just make alternative arrangements ."
341,"When entering a funeral home , remember to stay alert and always look alive !"
342,Loose lips sink ships .
343,Taxidermists really know their stuff .
344,Two blackberries met . They were both in a jam .
345,Two surgeons were joking about sutures and had each other in stitches .
346,"Behind every man , there ' s a woman with nothing to wear ."
347,My boyfriend and I started to date after he backed his car into mine . We met by accident .
348,Some burglars are always looking for windows of opportunity .
349,OLD PILOTS never die they just go to a higher plane .
350,Beer : So much more than a breakfast drink .
351,"I am not 40 , I ' m 18 with 22 years experience"
352,Dry cleaners are often pressed for time .
353,Cousteau was submerged in his work .
354,I went to the store to buy some soup but they were out of stock .
355,Sports are refereed by people of many stripes .
356,My new expensive vacuum cleaner really sucked .
357,A restaurant owner gave his cooks a stirring speech .
358,"I travel all over America , Tom stated ."
359,"OLD PYROMANIACS never die , they just lose their spark"
360,The Easter story is not a dead issue .
361,"Be true to your teeth , or they will be false to you ."
362,Don’t let your footprints in the sands of time be the mark of a heel
363,"Five brothers wanted to buy a horse , so they all had to pony up ."
364,He couldn ' t decide whether to accept a job in mattress sales so he decided to sleep on it .
365,"When the plums dry on your tree , it ' s time to prune ."
366,If you get sick at the airport it could be a terminal illness .
367,The dentist ' s favourite shopping centre was ' The Gap ' .
368,Before he was hired as a short order cook they grilled him .
369,"( a ) Fast , ( b ) Reliable , ( c ) Inexpensive - Pick Two ."
370,Business at the candle factory tapered off after the holidays .
371,Take all things as they come and be content .
372,"The golfer guessed that his ball landed 20 feet off the fairway . Of course , that was just a rough estimate ."
373,Pencil sharpeners have a tough life - they live off tips .
374,Two referees went head to head because they had a score to settle .
375,There is no time like the present .
376,There is danger in delay .
377,A circus lion won ' t eat clowns because they taste funny .
378,Procrastination Day Has Been Postponed !
379,In an office : Would the person who took the step ladder yesterday kindly bring it back or further steps will be taken .
380,"OLD GOLFERS never die , they just lose their drive ."
381,When it was lumpy he had a beef with his gravy .
382,A pop singer bought a new house for a song .
383,There are as good fish in the sea as ever were caught .
384,50 percent of something is better than one hundred percent of nothing .
385,Two florists got married . It was an arranged marriage .
386,"OLD GEOMETRY TEACHERS never die , they just go off on a tangent ."
387,The photograph that I took of the sandstorm turned out grainy .
388,The owner of the hair salon had to make cuts on his staff .
389,One palm tree said to another ' let ' s have a date . '
390,"It ' s a fact , taller people sleep longer in bed ."
391,Nobel got a big bang out of it .
392,Those working in tissue research and testing are always blowing it .
393,For the office drunk : He generally found him loaded with work to do .
394,"Doctor , Doctor , what would you take for this cold ? - Make me an offer . Next ."
395,"An undertaker can be one of your best friends , he is always the last one to let you down ."
396,Labor Day is a good time to stop and reflect on the august events the the preceding month .
397,The show must go on .
398,Two pencils decided to have a race . The outcome was a draw .
399,"' ' Waiter , there ' s a fly in my soup ! ' ' ' ' Force of habit , sir , the chef used to be a tailor ."
400,You know what happens after you miss math class ? It starts adding up .
401,"I crossed a cell phone with a skunk , and now the service stinks ."
402,I hear the Sylvester Stallone Film Festival got off to a rocky start .
403,I wanted to bring a penguin home but my parents said that wasn ' t going to fly .
404,"He collects mouthwash bottles , and they ' re all in mint condition ."
405,Early nuclear experimenters discovered an element of surprise .
406,Multitasking = screwing up several things at once .
407,After Junior swallowed the watch he had to wait to pass the time .
408,"OLD AUTO MECHANICS never die , they just become exhausted ."
409,"If all goes well , you ' ve overlooked something !"
410,Two companies that manufactured rulers decided to align .
411,"Waiter , there are pennies in my soup ! ' ' Well , sir , you said you ' d stop eating here if there wasn ' t some change in the food . ' ' *"
412,"Hope for the best , but prepare for the worst ."
413,I tried to pack myself in a suitcase . I could hardly contain myself .
414,My name is Leo . A lion trainer .
415,The river crested when a factory spilled toothpaste into it .
416,"When video arcades switched to a system of tokens , there was no quarter asked or given ."
417,The Alpine Skiing competition started poorly and went downhill from there .
418,Deep calls to deep .
419,A young man married is a young man marred .
420,A gardening store owner who often called long distance for importing realized that talk and dirt aren ' t necessarily cheap .
421,"If you wear a blindfold at the shooting range , you won ' t know what you ' re missing ."
422,When a letter carrier became a hero they called him a deliverer .
423,"' ' I ' ve run out of wool , ' ' said Tom , knitting his brow ."
424,Lunatic asylum : where optimism most flourishes .
425,Librarians are always going by the book .
426,Cross the stream where it is shallowest .
427,The prospector didn ' t think his career would pan out .
428,To write with a broken pencil is pointless .
429,The ice at the rink has many ruts . I think the maintenance crew is slipping up .
430,There was a contest on a slippery rock slope . I won in a landslide .
431,"Doctor , doctor , I keep thinking I ' m a deck of cards . - I ' ll deal with you later . Next !"
432,"OLD FARMERS never die , they just turn into vegetables ."
433,When a priest makes a mistake in church it ' s a clerical error .
434,. . . So simple a child could do it ? Go find me a child !
435,What you sow is what you reap .
436,In the old days a suspended sentence was hanging .
437,The first time I got hold of a hang glider I had to wing it .
438,Curiosity killed the cat .
439,The coffee tasted like mud because it was ground a couple of minutes ago .
440,OLD DEANS never die they just lose their faculties .
441,Show me a baker who is on a roll and I ' ll show you someone sitting on a bun .
442,"OLD ELECTRICIANS never die , they just lose their potential ."
443,"Success comes in cans , failure comes in cant’s"
444,The spirit is willing but the flesh is weak .
445,She was only a Junkie ' s daughter but her crack was the best in town .
446,I know road rage is an awful thing but when someone bumped my car I just couldn ' t help it . I got out my camera and snapped at the offender .
447,The worth of a thing is what it will bring .
448,"She was only a Cattleman ' s daughter , but she couldn ' t keep her calves together ."
449,"Dogs wags their tails , not as much to you as to your bread ."
450,"I tried hard to get into vexillology , but , in the end , had to flag it away ."
451,An archaeologist ' s career ended in ruins .
452,"Any given program , once running , is obsolete ."
453,"OLD PRESIDENTS never die , they just go through their cabinets"
454,Who has not served cannot command .
455,SYSOP \ ' sis äp \ n : the person laughing as you type
456,"I ' ve spotted more blackbirds than you have , Tom crowed ."
457,"OLD TYPISTS never die , they just lose their justification ."
458,"No longer foster , no longer friend ."
459,Don ' t lend people money . It causes amnesia .
460,That government is best which governs least .
461,"I ' ll glue the sheets of wood back together , Tom replied ."
462,"Old lumberjacks never die , they just pine away ."
463,Early stone tools had many problems that were eventually ironed out .
464,Empty vessels make the most sound .
465,"To test a man ' s character , give him power ."
466,He was facinated by his new welding job . It was riveting .
467,Bridge tolls have increased significantly over a 5 year span .
468,Nothing is so smiple that it can ' t get screwed up .
469,Those who polish cars so that they shine work in a buffer zone .
470,One rotten apple will spoil the whole barrel .
471,None of you exist . The sysop types it all in . . .
472,"Did you see guys that Bob the ventriloquist hangs out with ? They ' re nothing special , just a bunch of dummies ."
473,One secret of success is to know how to deny yourself and other people .
474,One scabbed sheep mars the whole flock .
475,"Better to remain silent and be thought a fool , than to open your mouth and remove all doubt ."
476,Today is a good day for you to jump in a lake .
477,We were so poor when I was growing up we couldn ' t even afford to pay attention .
478,"When you give to god , you always get back change"
479,I ' m not paranoid ! Which of my enemies told you this ?
480,"I was going to buy some loose tea , but the price was too steep ."
481,The sergeant drank whiskey in order to be fortified in his position .
482,"OLD COUPON CLIPPERS never die , they just expire ."
483,Oh sure ! But what ' s the speed of dark ?
484,"She was only a Electrician ' s daughter , but she certainly had good connections ."
485,The harm caused by sibling rivalry is relative .
486,"When the woman got paid for being in a study at the sleep clinic , she said it was her dream job ."
487,A carpenter sat on his drill and was bored to tears .
488,A civil question deserves a civil answer .
489,A library should have several floors because it is a multi story building .
490,We don’t read palms ; we wave them .
491,Once a drunkard always a drunkard .
492,Two cooks disagreed but decided to hash it over .
493,Hire teenagers while they still know everything .
494,"The tongue weighs very little , but few people can hold it ."
495,She ' s a composer who has scores of works to her credit .
496,When he fell in the wet concrete he left a bad impression .
497,My name is Herb . I ' m a cook .
498,Who lives by hope will die of hunger .
499,There was a report of shots fired in a local bar . The police don ' t know what triggered the commotion .
500,Take things as you find them .
501,A goat that ate office supplies was on a staple diet .
502,"When the wino suspected his muscatel was watered down , he needed more proof ."
503,"The bargain store promised a free abacus with every purchase , but I wouldn ' t count on it ."
504,Illusionists always find themselves in tricky situations .
505,The orange squeezer was invented with some juicy information .
506,The first chapter of fools is to think themselves wise .
507,"OLD NITPICKERS never die , they just feel lousy ."
508,"Comedians , the biggest joke going ."
509,I ' m ! A ! Graduate ! Of ! The ! Bill ! Shatner ! Acting ! School !
510,Why didn ' t the little boy ask the flight attendant for a snack ? He didn ' t have the nuts .
511,Why did the agricultural presentation go so smoothly ? They planted questions .
512,"I couldn ' t quite remember how to throw a boomerang , but eventually it came back to me ."
513,"OLD FORGERS never die , they just leave no trace ."
514,Speed doesn ' t kill . Stopping very fast kills .
515,When buying a battery you should never have to charge it .
516,"If you want a thing done right , do it yourself ."
517,"Hey , is this yours ? Your dog left it on my lawn . . ."
518,Fretting cares make grey hairs .
519,OLD WRESTLERS never die they just lose their grip .
520,""" Bother , "" said Pooh , as he torched the forest . . . . ."
521,In the office she was frantically looking for her false nails only to discover she had filed them away .
522,He is my friend who grinds at my mill .
523,OLD TEACHERS never die they just lose their class .
524,Gunpowder was invented in a flash .
525,The frog went unnoticed in the milkshake because it blended so well .
526,Sign in an electrician ' s shop : ' We will refuse you . '
527,Do not add oil to the fire .
528,Low carb diets really go against the grain .
529,"Laugh and the world laughs with you , cry and you cry alone ."
530,A wig van blew up on the motorway - police are combing the area .
531,Vegetarian : Indian word for lousy hunter ! ! !
532,Don ' t kill the goose that lays the golden eggs .
533,My name is Sandy . I ' m a lifeguard .
534,He had a difficult time bouncing back from his bungee cord accident .
535,"If ignorance is bliss , why aren ' t there more happy folks ?"
536,Love is blind .
537,A tattle tale pig is a squealer .
538,SHIN : A device for finding furniture in the dark
539,Bike sales go in cycles .
540,"Like father , like son ."
541,A waiter who played tennis was great at serving .
542,An old professor who was never on time died and was called the late professor Brown .
543,Two cooks had a contest and the heat was on .
544,When cave men got together they formed clubs .
545,My friend was fired from his job at the road department for stealing . I have to say I saw it coming . The last time I was at his house all the signs were there .
546,My skiing skills are really going downhill .
547,"Doctor , doctor , I keep thinking I ' m a spoon . - Sit there and don ' t stir . Next ."
548,Baseball is known for its pitched battles .
549,Reassembling the skeletons of prehistoric mammals can be a mammoth undertaking .
550,Life ' s essentials : H O C N Ca P Cl K S Na Mg
551,Math teachers have lots of problems .
552,Graveyard workers really dig their jobs .
553,"I ' m blind enough to look at the situation in the wrong fashion , so I changed my clothes ."
554,"Before he sold Christmas trees , he got himself spruced up ."
555,"OLD SOCCER PLAYERS never die , they just lose their kick ."
556,Golfers hate cake because they might get a slice .
557,Her decision to take up rock climbing was precipitous to say the least .
558,My name is Ray . I ' m a roentgenologist .
559,He gives twice who gives in a trice .
560,A truly wise man never plays leapfrog with a unicorn .
561,There is no smoke without fire .
562,"If pride goes before a fall , humility should arrive by that winter"
563,Put a beggar on horseback and he ' ll ride it to death .
564,The psychiatrist told the genie his emotions were all bottled up .
565,"After they had it out in the boxing ring , they called it square ."
566,Send $ 20 and I will double your IQ or no money back
567,He who lends to the poor gets interest from god
568,"Power corrupts , especially at the electric company ."
569,"OLD PSYCHIATRISTS never die , they just shrink away ."
570,A politician with a bad back needs lots of support .
571,She had two different jobs as a chef which gave her a full plate .
572,OLD MAGICIANS never die they just disappear .
573,Conjoined twins aren ' t the only twins with special connections .
574,The two guys caught drinking battery acid will soon be charged .
575,"OLD SHOEMAKERS never die , they are just given the boot ."
576,The first step to health is to know that we are sick .
577,The exhibitionist went to the store because he heard they were having a flash sale .
578,A baseball player joined the army and did the round of military bases .
579,If word processing a presentation about guns - - be sure to know how to use bullets .
580,"OLD METEOROLOGISTS never die , they just get under the weather ."
581,A case of disappearing bison had police completely buffaloed .
