text	detection
A teacher having a tough time longs for the end of the school daze .	0
Waiters are good at multiplication because they know their tables .	1
Some burglars are always looking for windows of opportunity .	1
A baseball player can sell himself to a new team if he has a good pitch .	1
Never laugh at your boyfriend ' s choices . You are one of them .	0
I went to the theatre , it looked a bit suspicious . I reckon the whole thing was staged .	1
Cousteau was submerged in his work .	1
The lumber company downsized . They got rid of the deadwood .	1
What do trees drink ? Root beer .	1
Once ice cream was invented the problem was licked .	1
He shined a police officer ' s shoes and had a brush with the law .	1
The president went through his cabinet to look for his shirt .	1
She was only a whisky maker but he loved her still .	1
My name is Chuck , I ' m a butcher .	0
Why did the agricultural presentation go so smoothly ? They planted questions .	1
The good is the enemy of the best .	0
Old trombonists never die , they just slide away . . .	0
Most hunters are nice because they ' re such deer people .	0
A friend cannot be known in prosperity nor an enemy be hidden in adversity .	0
A nuclear war can ruin your whole day . . .	1
The vegetable never taken aboard ship is a leek .	0
If you snooze you lose .	0
Did you hear about the readhead who opened a bakery ? He was the ginger bread man .	0
We offer counsel so you are not audited on your final return .	1
I wanted to learn to drive a stick shift , but I couldn ' t find a manual .	1
Waiter , I ' ll have my bill now . - How did you find your steak , sir ? - Oh , I just moved the potato and there it was .	1
A lie can be halfway around the world before the truth gets its boots on .	0
He has been a jogger for three years running .	1
He realized he ' d made the major leagues when it finally hit him .	1
Vinyl records are really groovy .	1
The only similarity between ancient times and the 1970 ' s is that both were full of people getting stoned .	1
 ' I like modern painting , ' ' saidDanielabstractly .	1
My father slept under the bed , I think he was a little potty .	0
The designer wondered why his pirate room wasn ' t perfect , and the judge told him he went a little overboard .	1
Transitional age is when during a hot day you don ' t know if you want ice cream or beer .	0
Ne ' er cast a clout till May be out .	0
If you ride a bus you have to pay your fare share .	0
Then there was the occasion I spotted a health - oriented cafe displaying a sign reading ' ' California Shakes . ' ' Obviously , I thought .	0
There was a guy who was fired from the orange juice factory for lack of concentration .	1
A successful diet is the triumph of mind over platter .	0
I ' ve been to the dentist several times so I know the drill .	1
Forgive and forget .	0
All I ask is a chance to prove that money can ' t make me happy .	0
Some bankers are generous to a vault .	0
It ' s easy to be wise after the event .	0
A rising tide lifts all boats .	0
I heard some pretty juicy rumor about butter , but I decided not to spread it .	1
OLD GRAVEDIGGERS never die , they just spade away .	0
Lumber companies have many board meetings .	1
There is no royal road to learning .	0
I gave in when my wife hounded me about getting a puppy .	1
Old pilots never die , they just get more turbulent .	1
None but the brave deserve the fair .	0
Men talk only to conceal the mind .	0
I ' d give my right arm to be ambidextrous .	0
He bought a plate with four corners so he could have a square meal .	1
Someone once accused me of stealing an old , rare , valuable stamp , and I philately denied it .	0
What kind of flooring do alligator hunters use ? Reptiles !	0
Three can keep a secret , if two of them are dead .	0
Since I ' ve taken the job in The Everglades I ' ve been swamped !	1
While walking on a tightrope , the accountant lost his balance .	1
When making butter there is little margarine for error .	0
Time flies .	0
When the human cannonball retired they couldn ' t find a replacement of the right caliber .	1
Don ' t put all your eggs in one basket .	0
I think a job as a shoe salesmen would be your best fit .	1
Waiter , there ' s a fly in my soup ! ' ' At our restaurant , we guarantee You won ' t find a single fly . ' ' ' ' Whaddya mean ? ' ' ' ' Because they ' re all married . ' '	0
Pray up in advance .	0
Give him an inch and he ' ll take a yard .	0
It ' s OK to watch an elephant bathe as they usually have their trunks on .	1
The artist drew a crowd with her spectacular performance .	1
The voice of the people is the voice of god .	0
I ' m not a Facebook status . You don ' t have to like me .	0
Where do pancakes live ? In a flat .	1
A picture is worth a thousand words .	0
Oh what a tangled web we weave . On the Internet .	1
Notice in a field : The farmer allows walkers to cross the field for free , but the bull charges .	1
My mate swallowed a cordless vacuum cleaner , they took him to hospital and he is picking up nicely .	1
If I had a dollar for every time I had an existential crisis , it wouldn ' t matter because currency is a social construct and life is meaningless .	0
Old proctologists never die , they just face the end .	1
Tagline dispenser temporarily out of order .	0
The musician played a lute at the concert and earned his fame .	0
It ' s never too late to mend .	0
The prospector didn ' t think his career would pan out .	1
I ' ve made a website for depressed tennis players . The servers are currently down .	1
The groundskeeper at a large cemetery was important because he had 5000 people under him .	1
Mason - Dixon Line n . Separates y ' all from youse guys	0
When the doctor asked the editor how he was doing , he said he had a problem with his circulation .	1
"Why did CNN cancel that cool "" Winter Storm "" show ?"	1
Garbage in , garbage out .	0
If pride goes before a fall , humility should arrive by that winter	1
Your very last breath will be a fatal blow .	1
Two companies that made shoelaces had common ties .	1
The younger brother the better gentleman .	0
Old bakers never die , they just stop making lots of dough .	0
Rap videos are completely unrealistic . Nobody has that many friends .	0
My comb is invaluable - I can ' t part with it .	1
A new type of broom came out , it is sweeping the nation .	1
OLD HOUSEWIVES never die , they just wash away .	0
Jenny was sure she was going to Heaven but she wouldn ' t harp on it .	1
He became a sky diver out of the blue .	1
Parallel lines have so much in common . It ' s a shame they ' ll never meet .	1
To err is human , to forgive is against my policy	0
Some food for thought is only baloney	1
I used to be a banker but I lost interest	1
' ' I find you guilty , ' ' said the judge with conviction .	1
A guy went to a costume party dressed as a knife , and he really looked sharp .	1
Reckless youth makes rueful age .	0
I had an appointment with the chiropractor , but I backed out .	1
Pompous male bees are often known to drone on about themselves .	1
When the investor came home from work he was spent .	0
The harm caused by sibling rivalry is relative .	1
People only throw stones at trees with fruit on them .	0
Two banks with different rates have a conflict of interest .	1
We carry our greatest enemies within us .	0
You are confused ; but this is your normal state .	0
Objects in taglines are closer than they appear .	0
Banners are everywhere because it ' s the parade today .	0
I ' d tell you a joke about a cow but I always butcher it .	1
Cooks have a lot of spice in their lives .	1
A veterinarian knows how to make a dog heal .	0
I tinted my hair today . It was the highlight of my day .	1
Backup not found : ( A ) bort ( R ) etry ( P ) anic	0
Federal Law prohibits the removal of this tagline	0
I wanted to be a sonar technician , but it was out of my depth .	1
The snowstorm arrived at a fortuitous moment . It was white on time .	0
If you jump to conclusions , you make terrible landings .	1
Do you have any parting words ? - How about comb and brush ?	1
 ' Angel dust ? Me ? Never touch it ! ' ' Matt snorted .	1
86 of Borg : You will be assimilated . Would you believe , stood close to ?	0
He put so many blanks in his document that he started to feel spaced out .	1
Sky divers don ' t jump , they just fall away .	1
An hobbituary to Tolkien appeared in each of the major newspapers , all had a familiar ring to them .	1
Traffic jam is the worst kind of jelly .	1
A karate school restaurant served mainly chops .	1
I kept failing to get a job as a butcher because I couldn ' t just make the cut .	1
Great minds agree .	0
OLD PROCTOLOGISTS never die , they just butt out .	1
Better late than never .	0
You have to fill out many government forms because there are many forms of government .	0
OLD VACUUM CLEANER SALESMEN never die , they just get sucked in !	1
A locksmith has to have a good Combination of skills .	1
Underpaid weather forecasters predicted a storm of protest .	1
Plough deep while sluggards sleep , and you will have corn to sell and keep .	0
Home improvement . Take your family to church .	0
If you send a letter to the Philippines put it in a Manila envelope .	0
Discretion is the better part of valor .	0
Some people still think that writing long stories is a novel idea .	1
Gauss was asked to attend because of his magnetic personality .	1
She was only a Insurance broker ' s daughter , but all the guys liked her policy .	0
""" Graphic Artist seeks Boss with vision impairment . """	0
Alergy sufferers are itching to get through the hay fever season .	1
Little strokes fell great oaks .	0
 ' Perhaps I will , ' ' said Nate with all his might .	0
Old bungee jumpers sometimes die but they can still bounce back	1
What ' s blue and not very heavy ? Light blue .	1
OLD WOOL COATS never die , they just become mothballed .	0
If at first you don ' t succeed , try , try again .	0
I tried wrapping Christmas presents , but I didn ' t have the gift .	1
Even though the well was a mystery to her , she didn ' t want to get to the bottom of it .	1
OLD RABBIS never die , they just get grey around the temples .	1
I have been waiting for the bus for so long , someone just stapled a lost cat flyer to my chest .	0
A noun and a verb were dating but they broke up because the noun was too possessive .	1
No one knows where the shoe pinches , but he who wears it .	0
Act your praise , not your shoe size .	0
I finally found a spotter at the gym , it ' s like a huge weight has been lifted off my shoulders .	1
How much room is needed for fungi to grow ? As mushroom as possible .	0
I love your old worn - out jacket covered with all those slogans , but I can ' t read the frays at the end of the sleeves .	0
My friend ' s bakery burned down last night . Now his business is toast .	1
Whenever the nurses have a bad day they just keep needling people .	1
Hmmm , fence must still be down over at the funny farm . . . .	0
Politics makes strange bedfellows .	0
A doorbell salesman joined the choir , and chimed right in .	1
Sellers of dried grapes are always raisin awareness .	0
I wanted to exercise last night but it just didn ' t work out .	1
The orange squeezer was invented with some juicy information .	1
OLD NUMBER THEORISTS never die , they just get past their prime .	1
Plumbers often have to tap their natural abilities .	1
Swimmers have to be careful not to get into deep trouble .	1
Beats me why anyone would want to be a masochist .	1
Pencils could be made with erasers at both ends , but what would be the point ?	1
At seven foot six he was a great basketball player and everyone looked up to him .	1
When a duck is feeling down he might just be happy .	1
Tires are fixed for a flat rate .	1
If you wear a blindfold at the shooting range , you won ' t know what you ' re missing .	1
Vertical living is flat dwelling .	0
The boy who got electrocuted was unable to give a statement because he was still shocked at the incident .	1
We were so poor when I was growing up we couldn ' t even afford to pay attention .	1
There is no greater torment than to be alone in paradise .	0
Two blasting technicians got married and then lost their spark .	1
I ' ll have one brain on drugs with bacon , toast and juice .	0
He recommended the restaurant to me , and said he had no reservations .	1
I found out that at the gym , their opinion on fitness carries a lot of weight .	1
If you ' re looking for a sign from god , this is it .	0
My name is Teddy , I ' m in lingerie	1
Are you a Klingon , or is that a turtle on your head ?	0
The worth of a thing is what it will bring .	0
Our garden hose was damaged yesterday , and I couldn ' t get to the leek without getting wet .	0
Keep the dream alive : hit the snooze button .	1
The doctor couldn ' t transfer the organs because he didn ' t have the guts to do it .	1
After the lawyer flushed the toilet , it went to the suer .	0
On the old trains the engineer had a lot of esteem .	0
There ' s many a slip ' twixt cup and lip .	0
The bargain store promised a free abacus with every purchase , but I wouldn ' t count on it .	1
A group of physicists is called a nucleus .	1
You know what happens after you miss math class ? It starts adding up .	1
She ' s a composer who has scores of works to her credit .	1
When cave men got together they formed clubs .	1
Compatible : Blows up a little later than Incompatible	0
A doctor drank while putting on patients ' casts . He was soon plastered .	1
A bowling team was called ' lightning ' because they had so many strikes .	1
It is better to die on one ' s feet than live on one ' s knees .	0
In Ireland you ' re more likely to get a Pat answer .	1
My sweet mother got so old she granulated .	0
You really are addicted to soccer , you should think of kicking the habit .	1
Sometimes a pregnancy is so long it seems like a maternity .	0
Stereo speakers are made by ' high volume ' manufacturers .	1
Sheesh ! You start havin ' fun , and they send the lawyers !	0
When gossip finally led to the landlady ' s arrest for murdering her tenants and scattering parts of their bodies around town , her only comment was , ' ' Well , that ' s what comes of spreading roomers . ' '	0
 ' Here ' s your allowance for the next two weeks , ' 'Richardadvanced .	0
A politician who had been an astronomer was always saying ' no comet ' .	0
A word spoken is past recalling .	0
Dutch shoes used to be made in a factory machine , until it got clogged up .	1
Businesses selling pleasure boats often have a sail .	0
Winning isn ' t everything , it ' s the only thing .	0
Enjoy the present day , trusting little to what tomorrow may bring .	0
The woman who rode her broom to a croquet game was a wicket witch .	0
A tailor sometimes decides to suit himself .	1
Salespeople selling security equipment like to see people get alarmed .	1
 ' It ' s an actual parameter , not a formal parameter , ' ' wasRobert' s argument .	0
Making your own hard liquor is a whiskey business .	0
I ' d love to , but I ' m teaching my ferret to yodel .	0
Don ' t go between the tree and the bark .	0
A fool with a tool is a well - equipped fool	0
OLD HELICOPTER PILOTS never die , they just lose their choppers .	1
Last week I was diagnosed with insomnia , and now I ' m just so tired of it .	1
Photography developers occasionally have serious emulsional problems .	0
My father always thought laughter was the best medicine , which I guess is why several of us died of tuberculosis .	0
OLD LANDSCAPERS never die , they just get weeded out .	1
When the shocked IRS agent was found guilty of tax evasion he had to take time to collect himself .	1
Waiter , my bill please . - How did you find your luncheon , sir ? - With a magnifying glass .	1
When the air conditioning failed in the indoor stadium there was a fan protest .	1
A good carpenter will do his work and then varnish without a trace .	0
If someone steals your fruit , you have to let that mango .	0
New religion ? I haven ' t used up the old one , yet !	0
My name is Mike . I ' m an announcer	0
A cat ate some cheese and waited for a mouse with baited breath .	0
Those working in tissue research and testing are always blowing it .	0
A crazy programmer with a cold is a coughing hacker .	0
OLD LIBRARIANS never die , they just lose their circulation .	1
Doctor , doctor , I keep thinking I ' m a spoon . - Sit there and don ' t stir . Next .	1
If it screams , it ' s not food , yet . . . .	0
 ' I don ' t work here on a regular basis , ' ' saidJacobcasually .	0
A cook made pancakes flippantly .	0
Once a thief always a thief .	0
When William joined the army he disliked the phrase ' fire at will ' .	0
OLD BOOKKEEPERS never die they just lose their figures .	0
On being served an extravagant dessert : ' ' So rich , it has its own tax shelters . ' '	1
A contest held by fire fighters is called a match .	1
Giving praise is when you let off esteem .	0
A dry cleaners had a dozen suits in court .	1
Do not think that one enemy is insignificant , or that a thousand friends are too many .	0
Graveyard workers really dig their jobs .	1
Poverty is the reward of idleness .	0
My father ' s father wanted to know if he could stay with the company in spite of the many changes . They ended up grandfathering him in .	1
I like birthdays , but I think too many can kill you .	0
Edison thought it would be an illuminating experience .	1
He worked in a chocolate factory , but always took his sweet time .	1
Spare the rod , spoil the child .	0
The man addicted to brake fluid said he could stop any time .	1
If a job is worth doing , it is worth doing well .	0
Bakers have a great knead to make bread .	0
At what age is it appropriate to tell my dog that he ' s adopted ?	0
Poor blood circulation runs through the family .	1
What do you call friends you meet at culinary school ? Taste buds .	1
Your smile must be a black hole . Nothing can escape its pull .	0
Astronauts work in a nice atmosphere .	1
 ' I ' m burning aromatic substances , ' ' saidJim, incensed .	1
An ounce of prevention is worth a pound of cure .	0
Neil Simon ' s only unsuccessful play : Chapter 11 .	0
When he kicked the invoice , it didn ' t mean he wanted to foot the bill .	1
After having a knee dislocated and an elbow fractured in two barroom brawls Bradley should have learned to stay away from those joints .	1
Old typists never die , they just lose their justification .	0
Canadian DOS prompt : EH ? \ >	0
The Chinese chef maliciously dumped a hot broth with dumplings on an obnoxious customer . It was a wanton soup attack .	0
The dermatologist was an avid gardener but he had a problem with moles .	1
The weather bureau is an umbrella organization .	1
Water leaking through wallboard is usually a ceiling problem .	0
He had to learn what the measles was , from scratch .	1
OLD CHEMISTS never die , they just fail to react .	1
A king is old when he reaches the age of sovereignty .	0
Politicians get onto the merry - go - round and then put a spin on it .	1
My name is Sandy , I just hang around the beach .	0
What happens when you get scared half to death . . . . . twice ?	0
The state funeral remains to be seen .	0
First deserve , then desire .	0
A baseball player was a thief . He was always trying to steal .	1
I can ' t remember ever getting nits as a kid , although I do have a lousy memory .	1
Fine words butter no parsnips .	0
I ' m addicted to having money in the bank . I really do suffer from withdrawals .	1
The sergeant drank whiskey in order to be fortified in his position .	1
Ducks don ' t have their palms read - they look for it on the web .	1
The model who joined the air force was a bombshell .	1
Take all things as they come and be content .	0
I wrote a novel about a fellow who had a small garden . It didn ' t have much of a plot .	1
Old bootleggers never die , they just keep still .	1
The lawyer asked a loaded question about guns .	1
There ' s more than one way to skin a cat .	0
Waiter , there are pennies in my soup ! ' ' Well , sir , you said you ' d stop eating here if there wasn ' t some change in the food . ' ' 	1
OLD BASEBALLS never die they just get pitched .	0
A girl and her boyfriend went to a party as a barcode . They were an item .	1
My friend was fired from his job at the road department for stealing . I have to say I saw it coming . The last time I was at his house all the signs were there .	1
Violinists are often fiddling around .	1
When you ' re wearing a watch on an airplane , time flies .	1
One evening King Arthur ' s men discovered Sir Lancelot ' s moonshine whiskey operation and shattered the still of the knight .	0
A dentist with a toothache could have a bad impact on his patients .	0
When neon lights were perfected the inventor was positively glowing .	1
He collects mouthwash bottles , and they ' re all in mint condition .	1
I wonder if dogs had facebook , would they put our picture as their profile picture ?	0
She was surely an attorney ' s grandchild , but what a will to break .	1
Always remember you ' re unique - just like everyone else .	0
Old academics never die , they just lose their faculties	1
Sharks don ' t eat lawyers . Professional courtesy .	0
If I want your opinion I ' ll beat it out of you !	0
Plagiarism is the sincerest form of flattery .	0
Some people like raw meat on rare occasions .	1
Eating too many snacks when studying for a test is called cramming .	1
A girl a day keeps the wife away .	0
Have you heard the joke about the bomb ? It had no impact .	1
A will is a relative thing .	0
A woodcutter ' s world revolves on his axes .	1
Never lie to an x - ray technician . They can see right through you .	0
Changing a tire on that crazy Houston freeway was a wrenching experience .	1
She wanted to be a weaver but there were always too many snags .	1
The couple grew fruit trees and lived to a ripe old age .	1
Weather forecasters have to have lots of degrees .	1
If you burn the candle on both ends , you ' re not as bright as you think .	1
Two airline pilots in a stand - up comedy did a takeoff .	1
When it was lumpy he had a beef with his gravy .	0
Acrobats are always doing good turns .	1
I just landed a job as an assistant typist , helping with the capital letters . It ' s shift work .	1
Horses eat best when they don ' t have a bit in their mouth .	0
The Transformer always had a lot of quarters with him . He was a big fan of change .	1
She was only a Bookbinder ' s daughter , but she knew her way between the sheets .	1
After a long day of work , the old auto mechanic is exhausted .	1
Herbivores come in browns and graze .	0
Good clothes open all doors .	0
Swimming instructors are always getting immersed in their work .	1
If you sight a whale , it could be a fluke .	1
The salesman was peddling used bikes .	0
Scientists allow us to see the sun in a different light .	1
Apparently , they ' re not making shortbread any longer .	1
His wife left him saying she was going home to mutter .	0
We ' re lost but we ' re making good time .	0
I ' ve never taken an elevator to the basement floor , that ' s just beneath me .	1
She played baseball and so did he . They hit it off .	1
The rusty car is worth nothing at all to me .	0
When the Dalmatian ran away , he was spotted two blocks from home .	1
Animals are slaughtered for meat at a tender age .	1
Eve taught us it ' s okay to take a little time off .	0
Florida bumper sticker : don ' t shoot ! I ' m local !	0
Did you hear about the man who was jabbed in the back with a set of keys ? His back locked up .	1
My name is Frank , the Hot - Dog vendor	0
Shit or get off the pot .	0
 ' It ' s twelve noon , ' 'Jackchimed in .	1
Vines are extremely short - tempered . They snap at the slightest wind .	1
If you want to catch a squirrel , just climb a tree and act like a nut .	1
Children can do some knotty things with string .	0
I ' m NOT stubborn ! You can ' t convince me otherwise ! !	0
Airline pilots make many friends in high places .	1
The swimming champion had a stroke in her home , and now she ' s hospitalized .	1
He and his partner made knives , and they shared a cut .	1
The burglar tried to steal away without being noticed .	1
Did you hear about the pilot who always had work ? He was great at landing a job .	1
A manufacturer that made lamps gave their employees a light workload .	1
I used to be afraid of purchasing residential property for the purpose of renting , but now I have an apartment complex .	1
As soon as the airplane was invented , things were looking up .	1
Don ' t open the darkroom door ; it lets all the dark out .	0
Just so everyone is clear , I am going to put my glasses on .	1
A watched pot never boils .	0
People who make necklaces may get beady eyes .	1
Loose lips sink ships .	0
Old investors never die they just roll over .	1
An office with many people and few electrical outlets could be in for a power struggle .	1
Gotta run . . . the cat ' s caught in the printer again !	0
The cardiologist looks repulsed at the mess .	0
I used to have a life , now I have a modem .	0
The inventor of the stove top was in his element .	1
The fire chief was always asked burning questions .	1
( a ) Fast , ( b ) Reliable , ( c ) Inexpensive - Pick Two .	0
If you say you have bad skin , I ' d say that was a pore excuse .	0
He ' s a good letter carrier . He always keeps you posted .	1
His plan to manufacture pencils just didn ' t draw attention .	1
The Procrastinators Anonymous meeting has been delayed until next Wednesday	0
 ' How long will I have to wait for a table ? ' ' asked Wilfred without reservation .	1
He stayed at the auction to the bidder end .	0
Don ' t play with matches . Lighters work much , much better .	0
People who eat their apples stem and seed and all improve their core values .	1
What did the beaver say when he fell in water ? Dam it .	0
Since Bruce got too close to the big blade at the saw mill he is no longer feeling chipper .	1
Prevention is better than cure .	0
I was fighting a dragon , easier slayed then done .	0
Why don ' t people like to talk to garbage men ? They mostly talk trash .	1
The warden gave the inmates acne medicine hoping it would keep them from breaking out .	1
She told a long story about a coil of rope , and then left us all hanging .	1
Hell ! I thought it didn ' t matter what you believed as long as you were sincere !	0
The trouble with learning from experience is that you never graduate .	0
A hedge between keeps friends green .	0
Old coupon clippers never die , they just expire .	1
Salesmen don ' t get fired , they go out of commission instead .	1
' ' I won ' t buy a circuit breaker , ' ' Tom refused .	0
Faraday was charged up with the idea .	1
Life is what you make of it .	0
His model airplane hobby really took off .	1
Two coin collectors got together for old dimes sake .	0
If you run through a screen door you ' ll strain yourself .	1
A husband and wife argued over the weather , but it soon blew over .	1
Fight fire with fire .	0
Always smile . It makes people wonder what you ' re up to .	0
For a chronically absent employee : It seemed her career was just taking off .	0
Whom God will destroy , he first make mad .	0
My dad finally left me a voicemail where he didn ' t introduce himself . I think we ' re getting closer .	0
A tire store loves a chance to roll out a new product .	1
Soon after he joined the band , the guitarist was instrumental .	1
Ultimate office automation : networked coffee machines .	0
Do hotel managers get board with their jobs ?	0
When the TV repairman got married the reception was excellent .	1
If you walk along a railroad track you may soon feel run down .	0
Old hikers never die they just get the boot .	1
Fools and their money become popular quickly .	0
A case of disappearing bison had police completely buffaloed .	1
You may use this opinion for a two week trial period .	0
Gunpowder was invented in a flash .	1
Take my advice , I don ' t use it anyway .	0
They said he drank 2 bottles of whisky a day , but it wasn ' t true . He had to scotch those rumours right away .	1
The dance club opened to rave reviews .	1
The ultimate liquid measure is the supreme quart .	0
An egotist is a person who is more interested in himself than in me .	0
In an empty head , you can hear forever . . . .	0
Old statisticians never die , they just average out .	1
For a dishonest employee : He ' s an unbelievable worker .	1
2 Rules for Success : Rule # 1 : Never reveal everything you know .	0
People who like gold paint have a glitter complex .	0
Did you hear about the new pinata ? It ' s a huge hit .	1
Strip mining prevents forest fires .	0
Dorothy ' s dog , of the Wizard of Oz fame , always eats his food entirely - he never leaves any scraps because it ' s in toto .	0
Limit Congress to 2 terms : one in office , one in jail !	0
I was against the construction of tennis courts in the park as I thought they would cause too much racket .	1
This tagline no verb .	0
I still miss my ex - husband . But my aim is improving .	1
Virginity IS curable if detected early . . .	0
Time is money .	0
To save money for the company he cut all the electricity . They were soon in the black .	1
It was a sad day for the rattlesnake family , the time had come for the children to strike out on their own .	1
The whole office was laid off by the angry manager .	0
Failure is the stepping stone for success .	0
I ' ve finally stopped drinking for good . Now , I just drink for evil .	1
He who is not with me is against me .	0
If all your troubles are melting away watch out for the floods .	0
The boxer ' s girlfriend was a knockout .	1
Ron has the best motorcycle in town .	0
My name is Melody . A Musician	0
That ' s the third time my teacher changed my grade ,Allenremarked .	1
Occasionally , I hear an assertion followed by a hasty qualification , such as , ' ' Jim graduated in 1995 - - if memory serves . ' ' I ' ll respond : ' . . . or only stands and waits . ' '	0
Love can be a touchy subject .	0
Squirt guns don ' t soak people , People soak people .	0
An army officer is a position that some people shoot for .	1
The thought of having no alternative to soap never washed with the inventor of shower gel .	1
Come in for a free makeover this Sunday	0
I couldn ' t quite remember how to throw a boomerang , but eventually it came back to me .	1
The incontinent Scotsman had a wee accident .	0
An astronaut who fails on a weightlessness experiment must be aware of the gravity of the situation .	1
What do you call two bananas ? Slippers .	0
What is red and bad for your teeth ? A brick .	0
Some horses cause their owners a lot of woe .	0
