,text,label
126,"She was only a Pitcher ' s daughter , but you should have seen her curves .",1
127,A baseball player can sell himself to a new team if he has a good pitch .,1
128,"Yes , you ' re right . Unfortunately , I don ' t really care .",0
129,' ' Use your own toothbrush ! ' ' Tom bristled .,1
130,"To err is human , to forgive is against my policy",0
131,My name is Bill . I run a collection agency,1
132,"OLD BAKERS never die , they just stop making lots of dough .",1
133,"Tonight ' s forecast : Dark , scattered light toward dawn .",0
134,The couple grew fruit trees and lived to a ripe old age .,1
135,The plumber had to quit his job because it was too much of a drain .,1
136,Finding area is an integral part of calculus .,1
137,"If you sing while playing baseball , you won ' t get a good pitch .",1
138,"OLD PINEAPPLE GROWERS never die , they just get on the dole .",1
139,"Some commands given by the army are specific , others are General .",1
140,"If a horse could predict the weather , it would probably say that the weather is stable .",1
141,"She was only a Weatherman ' ' s daughter , but she sure had a warm front .",1
142,A drowning man will clutch at a straw .,0
143,"OLD LOCOMOTIVE ENGINEERS , never die , they just get derailed",1
144,A doctor who became a bartender was always giving out shots !,1
145,The grass is always greener on the other side .,0
146,"OLD STATISTICIANS never die , they just average out .",1
147,A little boy fired his light - colored crayons because they wouldn ' t show up .,1
148,"With certain cashiers , things are slow to register .",1
149,OLD ELECTRICIANS never die they just lose contact .,1
150,"' ' Perhaps I will , ' ' said Tom with all his might .",1
151,The comedian stopped at the fabric store on his way to a comedy gig . He was looking for new material .,1
152,"- Call me a taxi . - OK , you ' re a taxi .",1
153,Someone who sells old chess pieces is a pawn broker .,1
154,"If you want her to show emotion , cut up her credit cards .",0
155,The model who joined the air force was a bombshell .,1
156,"OLD PLUMBERS never die , they just pipe down .",1
157,Better safe than sorry .,0
158,"The surgeon really did not know how to perform quick surgeries on insects , but he did one on the fly .",1
159,"OLD STATISTICIANS never die , they just get mean .",1
160,We went to the owls convention and it was a real hoot .,1
161,OLD GARDENERS never die they are just deflowered .,1
162,In the air duct installers union they have lots of opportunity to vent .,1
163,"He and his partner made knives , and they shared a cut .",1
164,A baseball player was a thief . He was always trying to steal .,1
165,"First deserve , then desire .",0
166,The fault line had a splitting headache .,1
167,You ' re so vain / I bet you think this tagline ' s about you,0
168,"OLD DIVERS never die , they just flop .",1
169,"For a while , Houdini used a lot of trap doors in his act , but he was just going through a stage .",1
170,You know the tree by its fruit .,0
171,"OLD MINERS never die , they just lose their veins .",1
172,Animals are slaughtered for meat at a tender age .,1
173,"' ' I make the armour out of chain links , ' ' Tom replied by mail .",1
174,He became an astronaut and had a blast .,1
175,A perfect woman is one that is inflated to 40 psi .,0
176,A janitor with a broom in hand swept her off her feet .,1
177,I couldn ' t figure out how to fasten my seatbelt . Then it clicked .,1
178,"OLD PHOTOGRAPHERS never die , they just lose their focus .",1
179,Ne ' er cast a clout till May be out .,0
180,The trapeze artist had to buy his own safety equipment . Every Friday he drew his net wages .,1
181,"Do not think that one enemy is insignificant , or that a thousand friends are too many .",0
182,Dentists on death fill their last cavity .,1
183,"I ' d love to , but my bathroom tiles need grouting .",0
184,Math class is full of drama . There are so many problems to work out .,1
185,"Her exam was on the human skeleton , so she decided to bone up .",1
186,"Once the pin is pulled , Mr . Grenade is no longer a friend . . .",0
187,"The first duck wouldn ' t go in the water . The other duck said ' ' What are you , chicken ? ' ' .",1
188,To golf at your favorite course may require a long drive .,1
189,Any key will commence hard drive format . Continue ( y / n ) ?,0
190,"OLD TRIGONOMETRY TEACHERS never die , they just lose their identities .",1
191,"I ' m not afraid of flying , I ' m afraid of crashing .",0
192,"She was only a Catcher ' s daughter , but she had many balls bounce off her chin .",1
193,Money talks .,0
194,"Jesus did the only extreme world makeover , the flood",1
195,I took up teaching fencing as I wanted my students to get the point .,1
196,Sign on an electrician ' s truck : Let us remove your shorts .,1
197,"I like marching songs , in any month .",1
198,"' ' I couldn ' t believe there were 527 , 986 bees in the swarm ! ' ' Tom recounted .",1
199,""" I ' m sick ! I ought to be home in bed with a nurse . """,0
200,Our Boy Scouts ' knot - tying class went off without a hitch .,1
201,"I used to have a fear of hurdles , but I got over it .",1
202,A group called the Balloons sings pop music .,1
203,"' ' I have to check the score on this exam again , ' ' Tom remarked .",1
204,The dogs bark but the caravan passes on .,0
205,"She was only a Gardener ' s daughter , but she knows all the rakes .",1
206,A locksmith has to have a good Combination of skills .,1
207,The teacher asked a question and the students were all up in arms .,1
208,"She was only a Real estate agent ' ' s daughter , but she gave a lot away .",1
209,"If you can ' t make it good , make it expensive .",0
210,Little strokes fell great oaks .,0
211,Faint heart never won fair lady .,0
212,In the middle of difficulty lies opportunity .,0
213,"When you ' re wearing a watch on an airplane , time flies .",1
214,It ' s better to have loved and lost than never to have loved at all .,0
215,A man ' s home is his castle .,0
216,The mathematician worked at home because he only functioned in his domain .,1
217,I couldn ' t stand to be without my legs .,1
218,"Old bakers never die , they just keep making lots of dough .",1
219,In equations with square numbers I can never find the root of the problem .,1
220,Did you hear about the guy whose whole left side was cut off ? He ' s all right now .,1
221,Airline pilots make many friends in high places .,1
222,"OLD MOONSHINERS never die , they just keep still .",1
223,His business plan to manufacture scissors just didn ' t cut it .,1
224,The carpenter was well - known for nailing his work .,1
225,Salespeople selling security equipment like to see people get alarmed .,1
226,"She was only a Globetrotter ' s daughter , but she manages to get around .",1
227,We?€?ve got children?€?s church because we know how to kid around,1
228,What it boils down to is this : eggs taste good .,1
229,"My name is Chuck , I ' m a butcher .",1
230,"The pope , on his 2008 tour in the United States , skipped Mass .",1
231,I ' ll have what the gentleman on the floor is having .,0
232,There was a massive outcry against the plan to build a power line across a nature preserve . The public couldn ' t bear the tension .,1
233,A tailor sometimes decides to suit himself .,1
234,A woman who became queen considered it her crowning achievement .,1
235,"Even though Catholics in space are weightless , do they have mass ?",1
236,"OLD PILOTS never die , they just buzz off .",1
237,Convicts are committed people .,1
238,"sophisticated , adj . deprived of its native simplicity .",0
239,"My name is Emmy , I ' m a T . V . star",1
240,The Procrastinators Anonymous meeting has been delayed until next Wednesday,0
241,Take care of the pennies and the pounds will take care of themselves .,0
242,"A new type of broom came out , it is sweeping the nation .",1
243,Behind every great computer lies . . . a mess of wires !,0
244,"OLD TREE SURGEONS never die , they are just uprooted .",1
245,Pills with long names can be quite a mouthful .,1
246,My name is Brooks . I ' m an irrrigation consultant,1
247,"In zen skiing , you learn to become one with the snow .",0
248,Missing the wood for the trees .,0
249,A lingerie thief gave a police officer the slip .,1
250,We ' ll never run out of math teachers because they always multiply .,1
251,"The more you stroke the cat ' s tail , the more he raises his back .",0
252,"Are you a Klingon , or is that a turtle on your head ?",0
253,The race dogs got a bad case of the fleas - they had to be scratched .,1
254,A lawyer asked his dentist to give him a retainer .,1
255,My name is Wade and I ' m in swimming pool maintenance .,1
256,Hell hath no fury like a woman scorned .,0
257,An astronaut who fails on a weightlessness experiment must be aware of the gravity of the situation .,1
258,The weatherman who forecasted snow in July was a bit of a flake .,1
259,"Two brothers collaborated on haunted stories , but one was a ghost writer .",1
260,They built a tree house together but then had a falling out .,1
261,I ' m a sap for tree jokes .,1
262,Eschew Obfuscation !,0
263,Monday is a hard way to spend 1 / 7 of your life .,0
264,"OLD COWBOYS never die , they just get the boot .",1
265,Cowboys in a rodeo can be sure to get a few bucks .,1
266,OLD PRINCIPALS never die they just lose their faculties .,1
267,Never lie to an x - ray technician . They can see right through you .,1
268,He bought a rope factory to tie into his empire .,1
269,He took a nail to the volleyball game because he wanted to spike it .,1
270,There ' s no fool like an old fool .,0
271,Pharmacists find their work to be very encapsulating .,1
272,OLD KEY PUNCH OPERATORS never die they just punch out .,1
273,A basketball player couldn ' t control his saliva but he could sure dribble .,1
274,STICK \ ' stik \ n . 1 : A somewhat nonfunctional boomerang .,0
275,If you work in a forestry company you will probably have to log your time .,1
276,OLD GOLFERS never die they just putter away .,1
277,A job circumcising elephants isn ' t so bad . The base salary is small but the tips are big .,1
278,A man giving a speech by candle - light can wax eloquent .,1
279,Working hard to become roadkill on the Infobahn .,0
280,I never have understood how you ' re supposed to hit anything with a bat . . . . . it keeps flying away .,1
281,' ' How long will I have to wait for a table ? ' ' asked Tom without reservation .,1
282,"The designer wondered why his pirate room wasn ' t perfect , and the judge told him he went a little overboard .",1
283,"' ' Consult an investment broker , ' ' was Tom ' s stock answer .",1
284,If there ' s one person you don ' t want to interrupt in the middle of a sentence it ' s a judge .,1
285,Rabbits like their beer brewed with a lot of hops .,1
286,My name is Sly . I ' m a detective .,1
287,Some people really enjoy blowing air out of their lungs - I ' m not a fan myself .,1
288,An old spice wholesaler is a seasoned veteran .,1
289,All women are automatically born with a shopping disorder,0
290,Talk of the devil and he ' s sure to appear .,0
291,If an animal looses its tail it should shop at a retail store .,1
292,If you go for a job interview at a rubber stamp company try to make a good impression .,1
293,"OLD BLASTING TECHNICIANS never die , they just lose their spark .",1
294,"Love me tender / love me sweet / push me out at 12 , 000 ft",0
295,Studying fungus is a way to mold young minds .,1
296,""" Graphic Artist seeks Boss with vision impairment . """,0
297,A mechanic who was also a musician was good at tuning things .,1
298,"More haste , less speed .",0
299,A gambling gardener usually hedges his bets .,1
300,"I watched a movie about a baby hen , it was a real chick flick .",1
301,Copper wire was invented by lawyers arguing over a penny .,0
302,How does a card player party ? They shuffle .,1
303,"I noticed that the sun was out , and nobody had bothered to relight it .",1
304,If a town ' s people have low IQs is the population dense ?,1
305,I was talking during sex and my girlfriend hung up .,0
306,You are an example of why some animals eat their young .,0
307,"Doctor , Doctor , you ' ve got to help me . I think I ' m a kleptomaniac . - Don ' t worry . I think there ' s something you can take for that . Next .",1
308,Practice makes perfect .,0
309,"She was only a Fruit vender ' s daughter , but , oh , what a peach .",1
310,Cometh the hour cometh the man .,0
311,"The Bagginses , they steals our taglines , precioussss . . . .",0
312,Old math profs never die - - they just use strange expressions .,1
313,"and that , my leige , is how we know the Earth to be banana - shaped . . .",0
314,"A boating accident between the yacht , Red Dawn , and the schooner , Blue Lagoon , left the survivors marooned .",1
315,Junior loved being a member of the wrestling team even though he was prone to lose .,1
316,"The waiter was shocked when I asked for my salad to be served naked . I explained , no dressing please .",1
317,I suspected our new house guest was a terrorist . He asked to sleep on a blow up mattress .,1
318,Trophy shops often will give customers floss with their purchase to eliminate plaque problems .,1
319,Scientists have created a flea from scratch .,1
320,Seek water in the sea .,0
321,"OLD BOTANISTS never die , they ' re just deflowered .",1
322,The plot to his story of the pond was quite shallow .,1
323,"If you sight a whale , it could be a fluke .",1
324,A person who would make a banking joke is of no account .,1
325,Lose nothing for want of asking .,0
326,He bought a plate with four corners so he could have a square meal .,1
327,' ' I didn ' t look at all ! ' ' Tom peeped .,1
328,My name is Melody . A Musician,1
329,Two companies that made shoelaces had common ties .,1
330,The younger brother the better gentleman .,0
331,"New religion ? I haven ' t used up the old one , yet !",0
332,Why is the word abbreviation so long ?,0
333,Why was the car embarrassed ? Because it had gas !,1
334,God works in mysterious ways .,0
335,An egotist is a person who is more interested in himself than in me .,0
336,"Three can keep a secret , if two of them are dead .",0
337,I was arrested after my therapist suggested I take something for my kleptomania .,1
338,"Doctor , Doctor , my hair is coming out . What can you give me to keep it in ? - A cigar box . Next .",1
339,Once a thief always a thief .,0
340,"OLD FLORISTS never die , they just make alternative arrangements .",1
341,"When entering a funeral home , remember to stay alert and always look alive !",1
342,Loose lips sink ships .,0
343,Taxidermists really know their stuff .,1
344,Two blackberries met . They were both in a jam .,1
345,Two surgeons were joking about sutures and had each other in stitches .,1
346,"Behind every man , there ' s a woman with nothing to wear .",0
347,My boyfriend and I started to date after he backed his car into mine . We met by accident .,1
348,Some burglars are always looking for windows of opportunity .,1
349,OLD PILOTS never die they just go to a higher plane .,1
350,Beer : So much more than a breakfast drink .,0
351,"I am not 40 , I ' m 18 with 22 years experience",0
352,Dry cleaners are often pressed for time .,1
353,Cousteau was submerged in his work .,1
354,I went to the store to buy some soup but they were out of stock .,1
355,Sports are refereed by people of many stripes .,1
356,My new expensive vacuum cleaner really sucked .,1
357,A restaurant owner gave his cooks a stirring speech .,1
358,"I travel all over America , Tom stated .",1
359,"OLD PYROMANIACS never die , they just lose their spark",1
360,The Easter story is not a dead issue .,1
361,"Be true to your teeth , or they will be false to you .",1
362,Don?€?t let your footprints in the sands of time be the mark of a heel,1
363,"Five brothers wanted to buy a horse , so they all had to pony up .",1
364,He couldn ' t decide whether to accept a job in mattress sales so he decided to sleep on it .,1
365,"When the plums dry on your tree , it ' s time to prune .",1
366,If you get sick at the airport it could be a terminal illness .,1
367,The dentist ' s favourite shopping centre was ' The Gap ' .,1
368,Before he was hired as a short order cook they grilled him .,1
369,"( a ) Fast , ( b ) Reliable , ( c ) Inexpensive - Pick Two .",0
370,Business at the candle factory tapered off after the holidays .,1
371,Take all things as they come and be content .,0
372,"The golfer guessed that his ball landed 20 feet off the fairway . Of course , that was just a rough estimate .",1
373,Pencil sharpeners have a tough life - they live off tips .,1
374,Two referees went head to head because they had a score to settle .,1
375,There is no time like the present .,0
376,There is danger in delay .,0
377,A circus lion won ' t eat clowns because they taste funny .,1
378,Procrastination Day Has Been Postponed !,0
379,In an office : Would the person who took the step ladder yesterday kindly bring it back or further steps will be taken .,1
380,"OLD GOLFERS never die , they just lose their drive .",1
381,When it was lumpy he had a beef with his gravy .,1
382,A pop singer bought a new house for a song .,1
383,There are as good fish in the sea as ever were caught .,0
384,50 percent of something is better than one hundred percent of nothing .,0
385,Two florists got married . It was an arranged marriage .,1
386,"OLD GEOMETRY TEACHERS never die , they just go off on a tangent .",1
387,The photograph that I took of the sandstorm turned out grainy .,1
388,The owner of the hair salon had to make cuts on his staff .,1
389,One palm tree said to another ' let ' s have a date . ',1
390,"It ' s a fact , taller people sleep longer in bed .",1
391,Nobel got a big bang out of it .,1
392,Those working in tissue research and testing are always blowing it .,1
393,For the office drunk : He generally found him loaded with work to do .,1
394,"Doctor , Doctor , what would you take for this cold ? - Make me an offer . Next .",1
395,"An undertaker can be one of your best friends , he is always the last one to let you down .",1
396,Labor Day is a good time to stop and reflect on the august events the the preceding month .,1
397,The show must go on .,0
398,Two pencils decided to have a race . The outcome was a draw .,1
399,"' ' Waiter , there ' s a fly in my soup ! ' ' ' ' Force of habit , sir , the chef used to be a tailor .",1
400,You know what happens after you miss math class ? It starts adding up .,1
401,"I crossed a cell phone with a skunk , and now the service stinks .",1
402,I hear the Sylvester Stallone Film Festival got off to a rocky start .,1
403,I wanted to bring a penguin home but my parents said that wasn ' t going to fly .,1
404,"He collects mouthwash bottles , and they ' re all in mint condition .",1
405,Early nuclear experimenters discovered an element of surprise .,1
406,Multitasking = screwing up several things at once .,0
407,After Junior swallowed the watch he had to wait to pass the time .,1
408,"OLD AUTO MECHANICS never die , they just become exhausted .",1
409,"If all goes well , you ' ve overlooked something !",0
410,Two companies that manufactured rulers decided to align .,1
411,"Waiter , there are pennies in my soup ! ' ' Well , sir , you said you ' d stop eating here if there wasn ' t some change in the food . ' ' *",1
412,"Hope for the best , but prepare for the worst .",0
413,I tried to pack myself in a suitcase . I could hardly contain myself .,1
414,My name is Leo . A lion trainer .,1
415,The river crested when a factory spilled toothpaste into it .,1
416,"When video arcades switched to a system of tokens , there was no quarter asked or given .",1
417,The Alpine Skiing competition started poorly and went downhill from there .,1
418,Deep calls to deep .,0
419,A young man married is a young man marred .,0
420,A gardening store owner who often called long distance for importing realized that talk and dirt aren ' t necessarily cheap .,1
421,"If you wear a blindfold at the shooting range , you won ' t know what you ' re missing .",1
422,When a letter carrier became a hero they called him a deliverer .,1
423,"' ' I ' ve run out of wool , ' ' said Tom , knitting his brow .",1
424,Lunatic asylum : where optimism most flourishes .,0
425,Librarians are always going by the book .,1
426,Cross the stream where it is shallowest .,0
427,The prospector didn ' t think his career would pan out .,1
428,To write with a broken pencil is pointless .,1
429,The ice at the rink has many ruts . I think the maintenance crew is slipping up .,1
430,There was a contest on a slippery rock slope . I won in a landslide .,1
431,"Doctor , doctor , I keep thinking I ' m a deck of cards . - I ' ll deal with you later . Next !",1
432,"OLD FARMERS never die , they just turn into vegetables .",1
433,When a priest makes a mistake in church it ' s a clerical error .,1
434,. . . So simple a child could do it ? Go find me a child !,0
435,What you sow is what you reap .,0
436,In the old days a suspended sentence was hanging .,1
437,The first time I got hold of a hang glider I had to wing it .,1
438,Curiosity killed the cat .,0
439,The coffee tasted like mud because it was ground a couple of minutes ago .,1
440,OLD DEANS never die they just lose their faculties .,1
441,Show me a baker who is on a roll and I ' ll show you someone sitting on a bun .,1
442,"OLD ELECTRICIANS never die , they just lose their potential .",1
443,"Success comes in cans , failure comes in cant?€?s",1
444,The spirit is willing but the flesh is weak .,0
445,She was only a Junkie ' s daughter but her crack was the best in town .,1
446,I know road rage is an awful thing but when someone bumped my car I just couldn ' t help it . I got out my camera and snapped at the offender .,1
447,The worth of a thing is what it will bring .,0
448,"She was only a Cattleman ' s daughter , but she couldn ' t keep her calves together .",1
449,"Dogs wags their tails , not as much to you as to your bread .",0
450,"I tried hard to get into vexillology , but , in the end , had to flag it away .",1
451,An archaeologist ' s career ended in ruins .,1
452,"Any given program , once running , is obsolete .",0
453,"OLD PRESIDENTS never die , they just go through their cabinets",1
454,Who has not served cannot command .,0
455,SYSOP \ ' sis ?¡èp \ n : the person laughing as you type,0
456,"I ' ve spotted more blackbirds than you have , Tom crowed .",1
457,"OLD TYPISTS never die , they just lose their justification .",1
458,"No longer foster , no longer friend .",0
459,Don ' t lend people money . It causes amnesia .,0
460,That government is best which governs least .,0
461,"I ' ll glue the sheets of wood back together , Tom replied .",1
462,"Old lumberjacks never die , they just pine away .",1
463,Early stone tools had many problems that were eventually ironed out .,1
464,Empty vessels make the most sound .,0
465,"To test a man ' s character , give him power .",0
466,He was facinated by his new welding job . It was riveting .,1
467,Bridge tolls have increased significantly over a 5 year span .,1
468,Nothing is so smiple that it can ' t get screwed up .,0
469,Those who polish cars so that they shine work in a buffer zone .,1
470,One rotten apple will spoil the whole barrel .,0
471,None of you exist . The sysop types it all in . . .,0
472,"Did you see guys that Bob the ventriloquist hangs out with ? They ' re nothing special , just a bunch of dummies .",1
473,One secret of success is to know how to deny yourself and other people .,0
474,One scabbed sheep mars the whole flock .,0
475,"Better to remain silent and be thought a fool , than to open your mouth and remove all doubt .",0
476,Today is a good day for you to jump in a lake .,0
477,We were so poor when I was growing up we couldn ' t even afford to pay attention .,1
478,"When you give to god , you always get back change",1
479,I ' m not paranoid ! Which of my enemies told you this ?,0
480,"I was going to buy some loose tea , but the price was too steep .",1
481,The sergeant drank whiskey in order to be fortified in his position .,1
482,"OLD COUPON CLIPPERS never die , they just expire .",1
483,Oh sure ! But what ' s the speed of dark ?,0
484,"She was only a Electrician ' s daughter , but she certainly had good connections .",1
485,The harm caused by sibling rivalry is relative .,1
486,"When the woman got paid for being in a study at the sleep clinic , she said it was her dream job .",1
487,A carpenter sat on his drill and was bored to tears .,1
488,A civil question deserves a civil answer .,0
489,A library should have several floors because it is a multi story building .,1
490,We don?€?t read palms ; we wave them .,1
491,Once a drunkard always a drunkard .,0
492,Two cooks disagreed but decided to hash it over .,1
493,Hire teenagers while they still know everything .,0
494,"The tongue weighs very little , but few people can hold it .",1
495,She ' s a composer who has scores of works to her credit .,1
496,When he fell in the wet concrete he left a bad impression .,1
497,My name is Herb . I ' m a cook .,1
498,Who lives by hope will die of hunger .,0
499,There was a report of shots fired in a local bar . The police don ' t know what triggered the commotion .,1
500,Take things as you find them .,0
501,A goat that ate office supplies was on a staple diet .,1
502,"When the wino suspected his muscatel was watered down , he needed more proof .",1
503,"The bargain store promised a free abacus with every purchase , but I wouldn ' t count on it .",1
504,Illusionists always find themselves in tricky situations .,1
505,The orange squeezer was invented with some juicy information .,1
506,The first chapter of fools is to think themselves wise .,0
507,"OLD NITPICKERS never die , they just feel lousy .",1
508,"Comedians , the biggest joke going .",1
509,I ' m ! A ! Graduate ! Of ! The ! Bill ! Shatner ! Acting ! School !,0
510,Why didn ' t the little boy ask the flight attendant for a snack ? He didn ' t have the nuts .,1
511,Why did the agricultural presentation go so smoothly ? They planted questions .,1
512,"I couldn ' t quite remember how to throw a boomerang , but eventually it came back to me .",1
513,"OLD FORGERS never die , they just leave no trace .",1
514,Speed doesn ' t kill . Stopping very fast kills .,0
515,When buying a battery you should never have to charge it .,1
516,"If you want a thing done right , do it yourself .",0
517,"Hey , is this yours ? Your dog left it on my lawn . . .",0
518,Fretting cares make grey hairs .,0
519,OLD WRESTLERS never die they just lose their grip .,1
520,""" Bother , "" said Pooh , as he torched the forest . . . . .",0
521,In the office she was frantically looking for her false nails only to discover she had filed them away .,1
522,He is my friend who grinds at my mill .,0
523,OLD TEACHERS never die they just lose their class .,1
524,Gunpowder was invented in a flash .,1
525,The frog went unnoticed in the milkshake because it blended so well .,1
526,Sign in an electrician ' s shop : ' We will refuse you . ',1
527,Do not add oil to the fire .,0
528,Low carb diets really go against the grain .,1
529,"Laugh and the world laughs with you , cry and you cry alone .",0
530,A wig van blew up on the motorway - police are combing the area .,1
531,Vegetarian : Indian word for lousy hunter ! ! !,0
532,Don ' t kill the goose that lays the golden eggs .,0
533,My name is Sandy . I ' m a lifeguard .,1
534,He had a difficult time bouncing back from his bungee cord accident .,1
535,"If ignorance is bliss , why aren ' t there more happy folks ?",0
536,Love is blind .,0
537,A tattle tale pig is a squealer .,1
538,SHIN : A device for finding furniture in the dark,0
539,Bike sales go in cycles .,1
540,"Like father , like son .",0
541,A waiter who played tennis was great at serving .,1
542,An old professor who was never on time died and was called the late professor Brown .,1
