text	location
My name is Melody  A Musician	-1
That's the third time my teacher changed my grade Allenremarked 	14
Occasionally  I hear an assertion followed by a hasty qualification  such as  Jim graduated in 1995 - - if memory serves  I'll respond :'   or only stands and waits 	-1
Love can be a touchy subject 	-1
Squirt guns don't soak people  People soak people 	-1
An army officer is a position that some people shoot for 	10
The thought of having no alternative to soap never washed with the inventor of shower gel 	10
Come in for a free makeover this Sunday	-1
I couldn't quite remember how to throw a boomerang  but eventually it came back to me 	16
The incontinent Scotsman had a wee accident 	-1
An astronaut who fails on a weightlessness experiment must be aware of the gravity of the situation 	14
What do you call two bananas  Slippers 	-1
What is red and bad for your teeth  A brick 	-1
Some horses cause their owners a lot of woe 	-1
You can't have an omelette unless you break the egg 	-1
If all goes well  you've overlooked something 	-1
The boy had never played basketball before so he decided to give it a shot 	15
If you can't buy a person  you can always sell him 	6
Grasp all  lose all 	-1
I went to an invisible fairground but didn't think it was very good  I just couldn't see the attraction 	-1
Age and treachery can always overcome youth and skill 	-1
Cats remind us that not everything in Nature has purpose 	-1
A racehorse's life is always on track 	9
When I was a kid I wanted to be a brain surgeon  But apparently I was too young 	-1
She always paints night scenes  Other artists pale by comparison 	9
My friend is very paranoid  He says people are either foe him or against him 	-1
